neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
131,247,48,89,110,1.8855,0.306878
130,250,47,93,110,1.92308,0.315789
119,243,54,87,102,2.04202,0.342541
126,248,53,92,103,1.96825,0.326203
134,242,49,89,104,1.80597,0.287234
127,248,54,88,106,1.95276,0.322667
132,249,55,88,106,1.88636,0.307087
129,235,50,91,94,1.82171,0.291209
142,248,54,90,104,1.74648,0.271795
131,235,48,89,98,1.79389,0.284153
134,239,51,88,100,1.78358,0.281501
129,249,52,90,107,1.93023,0.31746
129,248,56,89,103,1.92248,0.31565
125,246,54,91,101,1.968,0.326146
133,251,50,91,110,1.88722,0.307292
127,248,58,84,106,1.95276,0.322667
126,243,45,94,104,1.92857,0.317073
133,258,56,89,113,1.93985,0.319693
135,241,49,88,104,1.78519,0.281915
128,248,52,86,110,1.9375,0.319149
134,245,49,96,100,1.82836,0.292876
121,242,49,88,105,2.0,0.333333
132,249,49,87,113,1.88636,0.307087
123,243,53,89,101,1.97561,0.327869
134,246,57,88,101,1.83582,0.294737
128,244,50,91,103,1.90625,0.311828
123,237,51,88,98,1.92683,0.316667
131,244,51,87,106,1.8626,0.301333
137,258,52,96,110,1.88321,0.306329
134,253,55,99,99,1.88806,0.307494
132,246,51,83,112,1.86364,0.301587
134,258,54,92,112,1.92537,0.316327
125,245,51,91,103,1.96,0.324324
124,241,48,92,101,1.94355,0.320548
126,228,45,81,102,1.80952,0.288136
128,236,44,85,107,1.84375,0.296703
117,245,54,93,98,2.09402,0.353591
125,239,45,88,106,1.912,0.313187
126,255,59,94,102,2.02381,0.338583
127,246,54,87,105,1.93701,0.319035
134,243,50,86,107,1.81343,0.289125
126,241,49,87,105,1.9127,0.313351
131,259,57,95,107,1.9771,0.328205
133,244,55,91,98,1.83459,0.29443
126,252,53,94,105,2.0,0.333333
140,240,44,84,112,1.71429,0.263158
137,246,48,95,103,1.79562,0.284595
126,246,53,86,107,1.95238,0.322581
126,239,50,92,97,1.89683,0.309589
132,239,50,87,102,1.81061,0.28841
130,258,55,95,108,1.98462,0.329897
138,253,53,93,107,1.83333,0.294118
126,234,43,91,100,1.85714,0.3
130,232,42,90,100,1.78462,0.281768
133,245,54,88,103,1.84211,0.296296
131,241,47,95,99,1.83969,0.295699
138,238,46,87,105,1.72464,0.265957
127,247,50,91,106,1.94488,0.320856
129,241,49,92,100,1.86822,0.302703
141,252,52,88,112,1.78723,0.282443
128,244,48,87,109,1.90625,0.311828
125,247,51,87,109,1.976,0.327957
130,242,54,86,102,1.86154,0.301075
127,252,53,92,107,1.98425,0.329815
131,242,60,78,104,1.84733,0.297587
129,244,53,84,107,1.89147,0.308311
127,248,49,92,107,1.95276,0.322667
135,246,51,90,105,1.82222,0.291339
129,244,46,94,104,1.89147,0.308311
135,239,48,86,105,1.77037,0.278075
132,242,56,88,98,1.83333,0.294118
130,242,48,90,104,1.86154,0.301075
129,238,49,88,101,1.84496,0.297003
133,246,52,90,104,1.84962,0.298153
123,237,51,88,98,1.92683,0.316667
124,234,45,86,103,1.8871,0.307263
124,255,51,101,103,2.05645,0.345646
128,247,53,96,98,1.92969,0.317333
132,241,47,93,101,1.82576,0.292225
136,249,54,93,102,1.83088,0.293506
132,233,44,87,102,1.76515,0.276712
127,244,52,86,106,1.92126,0.315364
137,248,53,93,102,1.81022,0.288312
133,255,51,94,110,1.91729,0.314433
136,246,52,89,105,1.80882,0.287958
127,255,50,95,110,2.00787,0.335079
126,243,53,85,105,1.92857,0.317073
131,252,53,94,105,1.92366,0.315927
135,246,50,88,108,1.82222,0.291339
133,256,54,92,110,1.92481,0.316195
125,252,54,89,109,2.016,0.33687
126,249,50,86,113,1.97619,0.328
128,244,51,89,104,1.90625,0.311828
128,258,52,100,106,2.01562,0.336788
136,247,45,96,106,1.81618,0.289817
127,251,52,98,101,1.97638,0.328042
124,246,54,89,103,1.98387,0.32973
131,238,43,86,109,1.81679,0.289973
133,242,49,89,104,1.81955,0.290667
130,244,49,93,102,1.87692,0.304813
