neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
1287,1566,207,453,906,1.21678,0.0977918
1288,1575,197,453,925,1.22283,0.100244
1265,1570,218,449,903,1.24111,0.107584
1272,1528,198,441,889,1.20126,0.0914286
1310,1535,204,448,883,1.17176,0.0790861
1306,1569,206,463,900,1.20138,0.0914783
1304,1544,184,460,900,1.18405,0.0842697
1288,1568,203,457,908,1.21739,0.0980392
1256,1565,200,468,897,1.24602,0.109536
1272,1577,195,461,921,1.23978,0.107055
1265,1550,196,469,885,1.2253,0.101243
1285,1583,213,461,909,1.23191,0.103905
1293,1559,207,464,888,1.20572,0.0932679
1265,1575,209,463,903,1.24506,0.109155
1283,1534,194,439,901,1.19564,0.0891019
1269,1563,204,454,905,1.23168,0.103814
1288,1545,211,441,893,1.19953,0.0907166
1266,1542,194,463,885,1.21801,0.0982906
1277,1551,207,443,901,1.21457,0.0968883
1256,1567,209,463,895,1.24761,0.110166
1239,1525,192,449,884,1.23083,0.103473
1282,1581,218,463,900,1.23323,0.104436
1281,1574,201,462,911,1.22873,0.102627
1288,1567,213,456,898,1.21661,0.0977233
1257,1524,185,441,898,1.21241,0.0960086
1262,1538,200,458,880,1.2187,0.0985714
1303,1568,208,454,906,1.20338,0.0923023
1282,1521,199,449,873,1.18643,0.0852658
1280,1581,221,458,902,1.23516,0.105208
1308,1564,221,457,886,1.19572,0.0891365
1274,1632,221,478,933,1.281,0.123193
1265,1513,197,436,880,1.19605,0.0892729
1270,1587,195,474,918,1.24961,0.110956
1286,1540,199,452,889,1.19751,0.0898797
1271,1575,200,471,904,1.23918,0.106817
1266,1582,215,461,906,1.24961,0.110955
1316,1525,191,446,888,1.15881,0.0735656
1277,1531,195,456,880,1.1989,0.0904558
1277,1545,192,456,897,1.20987,0.0949681
1285,1530,188,441,901,1.19066,0.0870337
1296,1571,196,453,922,1.21219,0.0959191
1286,1550,204,463,883,1.20529,0.0930889
1292,1540,197,450,893,1.19195,0.0875706
1298,1570,207,466,897,1.20955,0.0948396
1289,1553,197,447,909,1.20481,0.0928923
1299,1583,208,457,918,1.21863,0.0985427
1297,1580,208,464,908,1.2182,0.0983664
1260,1584,208,465,911,1.25714,0.113924
1280,1533,195,443,895,1.19766,0.0899396
1272,1523,198,437,888,1.19733,0.0898032
1285,1555,208,463,884,1.21012,0.0950704
1300,1593,203,480,910,1.22538,0.101279
1304,1554,211,454,889,1.19172,0.0874738
1283,1520,196,440,884,1.18472,0.0845523
1281,1525,194,438,893,1.19048,0.0869565
1276,1533,194,439,900,1.20141,0.0914916
1281,1595,217,472,906,1.24512,0.109179
1300,1593,186,478,929,1.22538,0.101279
1243,1559,207,456,896,1.25422,0.112777
1298,1643,205,496,942,1.26579,0.117307
1294,1562,209,456,897,1.20711,0.0938375
1293,1548,198,464,886,1.19722,0.0897571
1289,1563,209,469,885,1.21257,0.0960729
1267,1567,214,464,889,1.23678,0.105857
1279,1533,188,463,882,1.19859,0.0903272
1265,1527,185,450,892,1.20711,0.0938395
1253,1599,212,476,911,1.27614,0.121318
1274,1552,202,459,891,1.21821,0.0983723
1264,1563,204,460,899,1.23655,0.105766
1256,1584,218,477,889,1.26115,0.115493
1316,1539,177,462,900,1.16945,0.0781086
1286,1542,197,459,886,1.19907,0.0905233
1286,1564,194,464,906,1.21617,0.0975439
1283,1575,211,476,888,1.22759,0.102169
1253,1504,195,428,881,1.20032,0.091041
1282,1530,192,454,884,1.19345,0.0881935
1266,1495,202,418,875,1.18088,0.082941
1265,1564,187,464,913,1.23636,0.105691
1252,1517,195,443,879,1.21166,0.0957024
1282,1511,180,438,893,1.17863,0.0819907
1316,1556,211,443,902,1.18237,0.0835655
1284,1591,209,461,921,1.2391,0.106783
1276,1534,178,441,915,1.20219,0.0918149
1267,1563,203,447,913,1.23362,0.104594
1290,1588,198,481,909,1.23101,0.103544
1267,1574,210,459,905,1.2423,0.108061
1292,1518,191,453,874,1.17492,0.080427
1277,1533,204,453,876,1.20047,0.0911032
1280,1502,204,430,868,1.17344,0.0797987
1288,1543,209,462,872,1.19798,0.0900742
1305,1572,218,457,897,1.2046,0.092805
1309,1528,220,429,879,1.1673,0.0771942
1283,1542,193,468,881,1.20187,0.0916814
1245,1557,198,466,893,1.2506,0.111349
1273,1554,197,447,910,1.22074,0.0993987
1279,1551,207,446,898,1.21267,0.0961131
1296,1547,212,445,890,1.19367,0.088287
1273,1546,216,438,892,1.21445,0.0968429
1269,1567,212,450,905,1.23483,0.105078
1243,1509,185,436,888,1.214,0.096657
