rep,selCoeff,pnps,pnps_alt,neutmuts,delmuts,m1muts,m2muts,m3muts
4,-0.1,0.238095,-0.615385,21,5,0,0,5
4,-0.001,1.86364,0.301587,22,41,41,0,0
4,-0.01,1.17647,0.0810811,17,20,0,20,0
4,-0.1,0.428571,-0.4,7,3,0,0,3
4,-0.001,3.0,0.5,7,21,21,0,0
4,-0.01,0.4,-0.428571,15,6,0,6,0
4,-0.1,0.357143,-0.473684,14,5,0,0,5
4,-0.001,1.84615,0.297297,13,24,24,0,0
4,-0.01,2.22222,0.37931,9,20,0,20,0
4,-0.1,0.5625,-0.28,16,9,0,0,9
4,-0.001,1.0,0.0,25,25,25,0,0
4,-0.01,1.13333,0.0625,15,17,0,17,0
4,-0.1,0.454545,-0.375,11,5,0,0,5
4,-0.001,2.1,0.354839,10,21,21,0,0
4,-0.01,1.07692,0.037037,13,14,0,14,0
4,-0.1,0.555556,-0.285714,18,10,0,0,10
4,-0.001,2.3,0.393939,10,23,23,0,0
4,-0.01,2.375,0.407407,8,19,0,19,0
4,-0.1,0.411765,-0.416667,17,7,0,0,7
4,-0.001,2.55556,0.4375,9,23,23,0,0
4,-0.01,1.27273,0.12,11,14,0,14,0
4,-0.1,0.153846,-0.733333,13,2,0,0,2
4,-0.001,1.53846,0.212121,13,20,20,0,0
4,-0.01,0.761905,-0.135135,21,16,0,16,0
4,-0.1,1.0,0.0,11,11,0,0,11
4,-0.001,1.57143,0.222222,14,22,22,0,0
4,-0.01,1.8,0.285714,5,9,0,9,0
4,-0.1,0.333333,-0.5,15,5,0,0,5
4,-0.001,0.944444,-0.0285714,18,17,17,0,0
4,-0.01,0.888889,-0.0588235,18,16,0,16,0
4,-0.1,0.333333,-0.5,15,5,0,0,5
4,-0.001,1.47368,0.191489,19,28,28,0,0
4,-0.01,2.23077,0.380952,13,29,0,29,0
4,-0.1,0.545455,-0.294118,11,6,0,0,6
4,-0.001,1.55,0.215686,20,31,31,0,0
4,-0.01,0.375,-0.454545,24,9,0,9,0
4,-0.1,0.631579,-0.225806,19,12,0,0,12
4,-0.001,1.31579,0.136364,19,25,25,0,0
4,-0.01,2.2,0.375,10,22,0,22,0
4,-0.1,0.416667,-0.411765,12,5,0,0,5
4,-0.001,2.0,0.333333,9,18,18,0,0
4,-0.01,1.61538,0.235294,13,21,0,21,0
4,-0.1,0.272727,-0.571429,11,3,0,0,3
4,-0.001,0.916667,-0.0434783,24,22,22,0,0
4,-0.01,1.0,0.0,18,18,0,18,0
4,-0.1,0.47619,-0.354839,21,10,0,0,10
4,-0.001,1.90909,0.3125,11,21,21,0,0
4,-0.01,1.05556,0.027027,18,19,0,19,0
4,-0.1,0.391304,-0.4375,23,9,0,0,9
4,-0.001,1.0,0.0,21,21,21,0,0
4,-0.01,1.33333,0.142857,12,16,0,16,0
4,-0.1,0.857143,-0.0769231,7,6,0,0,6
4,-0.001,0.789474,-0.117647,19,15,15,0,0
4,-0.01,1.66667,0.25,9,15,0,15,0
4,-0.1,0.5,-0.333333,16,8,0,0,8
4,-0.001,1.66667,0.25,15,25,25,0,0
4,-0.01,1.25,0.111111,12,15,0,15,0
4,-0.1,0.9,-0.0526316,10,9,0,0,9
4,-0.001,1.75,0.272727,12,21,21,0,0
4,-0.01,0.666667,-0.2,15,10,0,10,0
4,-0.1,0.3125,-0.52381,16,5,0,0,5
4,-0.001,1.61538,0.235294,13,21,21,0,0
4,-0.01,0.5,-0.333333,22,11,0,11,0
4,-0.1,1.0,0.0,12,12,0,0,12
4,-0.001,1.21053,0.0952381,19,23,23,0,0
4,-0.01,0.923077,-0.04,13,12,0,12,0
4,-0.1,0.923077,-0.04,13,12,0,0,12
4,-0.001,2.18182,0.371429,11,24,24,0,0
4,-0.01,0.818182,-0.1,11,9,0,9,0
4,-0.1,0.6,-0.25,15,9,0,0,9
4,-0.001,2.6,0.444444,15,39,39,0,0
4,-0.01,0.636364,-0.222222,22,14,0,14,0
4,-0.1,0.473684,-0.357143,19,9,0,0,9
4,-0.001,1.16667,0.0769231,18,21,21,0,0
4,-0.01,1.0,0.0,18,18,0,18,0
4,-0.1,0.357143,-0.473684,14,5,0,0,5
4,-0.001,1.27778,0.121951,18,23,23,0,0
4,-0.01,0.833333,-0.0909091,18,15,0,15,0
4,-0.1,0.611111,-0.241379,18,11,0,0,11
4,-0.001,1.45455,0.185185,11,16,16,0,0
4,-0.01,1.69231,0.257143,13,22,0,22,0
4,-0.1,0.285714,-0.555556,21,6,0,0,6
4,-0.001,1.88889,0.307692,9,17,17,0,0
4,-0.01,2.1,0.354839,10,21,0,21,0
4,-0.1,0.75,-0.142857,12,9,0,0,9
4,-0.001,1.27273,0.12,11,14,14,0,0
4,-0.01,1.41667,0.172414,12,17,0,17,0
4,-0.1,0.5,-0.333333,12,6,0,0,6
4,-0.001,1.12,0.0566038,25,28,28,0,0
4,-0.01,1.16667,0.0769231,12,14,0,14,0
4,-0.1,0.647059,-0.214286,17,11,0,0,11
4,-0.001,1.45,0.183673,20,29,29,0,0
4,-0.01,1.0,0.0,16,16,0,16,0
4,-0.1,0.16,-0.724138,25,4,0,0,4
4,-0.001,1.36842,0.155556,19,26,26,0,0
4,-0.01,1.25,0.111111,12,15,0,15,0
4,-0.1,0.3125,-0.52381,16,5,0,0,5
4,-0.001,2.5625,0.438596,16,41,41,0,0
4,-0.01,0.952381,-0.0243902,21,20,0,20,0
4,-0.1,0.888889,-0.0588235,9,8,0,0,8
4,-0.001,2.07143,0.348837,14,29,29,0,0
4,-0.01,1.42857,0.176471,7,10,0,10,0
4,-0.1,0.333333,-0.5,12,4,0,0,4
4,-0.001,1.4375,0.179487,16,23,23,0,0
4,-0.01,0.916667,-0.0434783,12,11,0,11,0
4,-0.1,0.269231,-0.575758,26,7,0,0,7
4,-0.001,1.375,0.157895,16,22,22,0,0
4,-0.01,1.46154,0.1875,13,19,0,19,0
4,-0.1,0.846154,-0.0833333,13,11,0,0,11
4,-0.001,2.35294,0.403509,17,40,40,0,0
4,-0.01,2.0,0.333333,11,22,0,22,0
4,-0.1,0.666667,-0.2,12,8,0,0,8
4,-0.001,1.0625,0.030303,16,17,17,0,0
4,-0.01,1.0,0.0,15,15,0,15,0
4,-0.1,0.615385,-0.238095,13,8,0,0,8
4,-0.001,2.61538,0.446809,13,34,34,0,0
4,-0.01,0.684211,-0.1875,19,13,0,13,0
