neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
7538,7340,891,1252,5197,0.973733,-0.0133082
7545,7345,874,1285,5186,0.973492,-0.0134318
7530,7230,877,1256,5097,0.960159,-0.0203252
7567,7305,876,1259,5170,0.965376,-0.017617
7483,7248,832,1291,5125,0.968595,-0.0159528
7492,7242,835,1263,5144,0.966631,-0.0169676
7611,7369,893,1289,5187,0.968204,-0.0161549
7629,7405,926,1312,5167,0.970638,-0.0148996
7593,7291,861,1273,5157,0.960227,-0.0202902
7576,7366,838,1332,5196,0.972281,-0.0140543
7550,7187,802,1261,5124,0.951921,-0.0246319
7521,7329,850,1319,5160,0.974471,-0.0129293
7446,7207,843,1253,5111,0.967902,-0.0163107
7575,7286,872,1281,5133,0.961848,-0.0194469
7562,7291,851,1266,5174,0.964163,-0.0182455
7551,7331,862,1271,5198,0.970865,-0.014783
7678,7268,862,1270,5136,0.946601,-0.0274321
7576,7367,866,1303,5198,0.972413,-0.0139865
7509,7297,856,1316,5125,0.971767,-0.0143185
7551,7305,864,1269,5172,0.967422,-0.016559
7598,7350,860,1270,5220,0.96736,-0.0165908
7593,7366,867,1306,5193,0.970104,-0.0151748
7530,7187,830,1223,5134,0.954449,-0.0233064
7585,7246,804,1277,5165,0.955307,-0.0228575
7546,7290,842,1287,5161,0.966075,-0.0172553
7557,7286,838,1313,5135,0.964139,-0.0182578
7559,7297,842,1291,5164,0.965339,-0.017636
7521,7244,844,1276,5124,0.96317,-0.0187606
7573,7316,823,1309,5184,0.966064,-0.0172611
7586,7257,874,1263,5120,0.956631,-0.0221653
7553,7257,849,1290,5118,0.96081,-0.0199865
7507,7312,849,1277,5186,0.974024,-0.0131588
7506,7373,868,1284,5221,0.982281,-0.00893877
7577,7295,859,1281,5155,0.962782,-0.0189618
7605,7277,845,1267,5165,0.95687,-0.02204
7488,7375,876,1307,5192,0.984909,-0.00760277
7643,7326,876,1278,5172,0.958524,-0.0211771
7612,7338,868,1272,5198,0.964004,-0.0183278
7570,7299,856,1263,5180,0.964201,-0.0182258
7586,7323,856,1270,5197,0.965331,-0.0176404
7598,7329,877,1247,5205,0.964596,-0.018021
7561,7389,844,1275,5270,0.977252,-0.011505
7629,7240,807,1247,5186,0.94901,-0.0261618
7575,7292,856,1272,5164,0.96264,-0.0190354
7582,7304,900,1249,5155,0.963334,-0.0186753
7502,7166,856,1228,5082,0.955212,-0.022907
7593,7238,824,1239,5175,0.953246,-0.0239363
7565,7336,867,1248,5221,0.969729,-0.0153681
7595,7332,851,1290,5191,0.965372,-0.0176191
7543,7280,825,1259,5196,0.965133,-0.0177427
7680,7345,895,1252,5198,0.95638,-0.0222962
7522,7242,796,1266,5180,0.962776,-0.0189651
7566,7365,848,1316,5201,0.973434,-0.0134619
7565,7347,872,1283,5192,0.971183,-0.0146191
7575,7250,859,1243,5148,0.957096,-0.0219224
7617,7273,890,1254,5129,0.954838,-0.0231028
7579,7412,877,1330,5205,0.977965,-0.01114
7540,7366,874,1315,5177,0.976923,-0.0116732
7598,7359,854,1279,5226,0.968544,-0.0159791
7571,7259,858,1271,5130,0.95879,-0.0210384
7516,7384,879,1304,5201,0.982437,-0.00885906
7554,7192,840,1250,5102,0.952078,-0.024549
7566,7280,840,1280,5160,0.962199,-0.0192644
7584,7312,826,1273,5213,0.964135,-0.0182599
7586,7367,893,1284,5190,0.971131,-0.0146459
7474,7275,834,1257,5184,0.973374,-0.0134924
7582,7326,890,1271,5165,0.966236,-0.017172
7616,7325,876,1292,5157,0.961791,-0.0194766
7573,7355,905,1302,5148,0.971214,-0.0146034
7581,7327,866,1296,5165,0.966495,-0.0170378
7587,7281,847,1260,5174,0.959668,-0.0205811
7537,7282,880,1265,5137,0.966167,-0.0172076
7530,7325,873,1290,5162,0.972776,-0.0138001
7578,7250,843,1257,5150,0.956717,-0.0221203
7461,7434,896,1286,5252,0.996381,-0.00181269
7573,7355,859,1302,5194,0.971214,-0.0146034
7534,7299,832,1281,5186,0.968808,-0.0158431
7576,7352,838,1288,5226,0.970433,-0.0150054
7554,7267,847,1247,5173,0.962007,-0.0193644
7600,7352,844,1295,5213,0.967368,-0.0165864
7515,7292,874,1241,5177,0.970326,-0.0150604
7560,7265,843,1258,5164,0.960979,-0.0198988
7589,7310,836,1290,5184,0.963236,-0.0187261
7615,7326,859,1314,5153,0.962049,-0.0193427
7506,7263,843,1222,5198,0.967626,-0.0164534
7636,7362,871,1311,5180,0.964117,-0.0182691
7475,7215,855,1243,5117,0.965217,-0.0176991
7511,7356,859,1282,5215,0.979364,-0.0104258
7572,7276,877,1263,5136,0.960909,-0.0199353
7590,7292,893,1246,5153,0.960738,-0.0200242
7640,7408,910,1288,5210,0.969634,-0.0154173
7537,7277,871,1304,5102,0.965504,-0.017551
7638,7315,834,1288,5193,0.957711,-0.021601
7550,7235,884,1222,5129,0.958278,-0.0213054
7489,7279,849,1274,5156,0.971959,-0.0142199
7466,7352,851,1286,5215,0.984731,-0.00769335
7617,7315,884,1254,5177,0.960352,-0.020225
7530,7350,899,1270,5181,0.976096,-0.0120968
7602,7222,882,1238,5102,0.950013,-0.0256341
7500,7314,838,1300,5176,0.9752,-0.0125557
