neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
48,80,12,31,37,1.66667,0.25
54,83,12,36,35,1.53704,0.211679
54,88,14,38,36,1.62963,0.239437
46,92,12,37,43,2.0,0.333333
49,88,12,35,41,1.79592,0.284672
49,79,15,30,34,1.61224,0.234375
43,80,10,32,38,1.86047,0.300813
50,77,11,32,34,1.54,0.212598
48,76,13,27,36,1.58333,0.225806
56,80,14,34,32,1.42857,0.176471
53,76,10,32,34,1.43396,0.178295
44,82,12,31,39,1.86364,0.301587
52,79,10,32,37,1.51923,0.206107
48,92,13,39,40,1.91667,0.314286
49,79,11,28,40,1.61224,0.234375
53,78,12,33,33,1.4717,0.19084
53,90,15,41,34,1.69811,0.258741
55,81,12,39,30,1.47273,0.191176
52,84,16,29,39,1.61538,0.235294
52,87,17,33,37,1.67308,0.251799
56,76,13,30,33,1.35714,0.151515
57,89,13,37,39,1.5614,0.219178
49,88,20,31,37,1.79592,0.284672
50,87,12,33,42,1.74,0.270073
52,85,12,31,42,1.63462,0.240876
47,81,9,34,38,1.7234,0.265625
53,88,15,39,34,1.66038,0.248227
60,91,18,33,40,1.51667,0.205298
51,88,15,36,37,1.72549,0.266187
46,83,13,32,38,1.80435,0.286822
54,81,11,38,32,1.5,0.2
46,81,10,34,37,1.76087,0.275591
51,80,12,33,35,1.56863,0.221374
53,79,10,36,33,1.49057,0.19697
53,91,16,37,38,1.71698,0.263889
48,79,10,30,39,1.64583,0.244094
50,82,11,36,35,1.64,0.242424
47,79,10,32,37,1.68085,0.253968
53,83,14,34,35,1.56604,0.220588
49,84,14,32,38,1.71429,0.263158
50,80,9,35,36,1.6,0.230769
50,88,17,33,38,1.76,0.275362
50,89,15,37,37,1.78,0.280576
60,91,16,35,40,1.51667,0.205298
48,85,12,38,35,1.77083,0.278195
52,80,14,31,35,1.53846,0.212121
46,89,16,38,35,1.93478,0.318519
56,80,16,29,35,1.42857,0.176471
53,83,12,34,37,1.56604,0.220588
45,83,16,29,38,1.84444,0.296875
46,86,13,38,35,1.86957,0.30303
43,76,6,31,39,1.76744,0.277311
46,80,12,29,39,1.73913,0.269841
49,79,13,28,38,1.61224,0.234375
48,80,12,29,39,1.66667,0.25
52,88,15,34,39,1.69231,0.257143
54,76,12,30,34,1.40741,0.169231
50,77,10,30,37,1.54,0.212598
48,85,17,29,39,1.77083,0.278195
52,74,12,31,31,1.42308,0.174603
48,75,10,33,32,1.5625,0.219512
53,80,13,33,34,1.50943,0.203008
50,79,11,32,36,1.58,0.224806
54,83,12,35,36,1.53704,0.211679
46,88,16,34,38,1.91304,0.313433
55,79,8,34,37,1.43636,0.179104
54,76,13,28,35,1.40741,0.169231
50,83,12,34,37,1.66,0.24812
55,90,18,27,45,1.63636,0.241379
48,84,16,34,34,1.75,0.272727
54,80,10,33,37,1.48148,0.19403
53,78,13,31,34,1.4717,0.19084
51,86,12,37,37,1.68627,0.255474
59,93,12,42,39,1.57627,0.223684
51,86,11,36,39,1.68627,0.255474
52,79,11,32,36,1.51923,0.206107
57,83,12,33,38,1.45614,0.185714
47,77,12,30,35,1.6383,0.241935
53,84,14,31,39,1.58491,0.226277
51,84,12,35,37,1.64706,0.244444
47,83,16,28,39,1.76596,0.276923
51,81,13,33,35,1.58824,0.227273
51,76,13,29,34,1.4902,0.19685
50,87,11,36,40,1.74,0.270073
50,77,11,33,33,1.54,0.212598
51,84,12,33,39,1.64706,0.244444
45,74,11,28,35,1.64444,0.243697
57,83,11,35,37,1.45614,0.185714
54,85,17,34,34,1.57407,0.223022
45,86,17,33,36,1.91111,0.312977
54,75,12,31,32,1.38889,0.162791
55,87,14,36,37,1.58182,0.225352
50,77,12,30,35,1.54,0.212598
53,79,13,32,34,1.49057,0.19697
44,79,9,33,37,1.79545,0.284553
49,88,14,37,37,1.79592,0.284672
50,84,13,37,34,1.68,0.253731
54,76,10,30,36,1.40741,0.169231
56,81,17,32,32,1.44643,0.182482
52,80,13,28,39,1.53846,0.212121
