neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
1866,1719,255,166,1298,0.921222,-0.0410042
1922,1681,231,173,1277,0.87461,-0.0668887
1855,1734,240,199,1295,0.934771,-0.0337141
1874,1746,270,188,1288,0.931697,-0.0353591
1879,1686,214,184,1288,0.897286,-0.0541374
1907,1711,241,192,1278,0.897221,-0.0541736
1963,1762,265,197,1300,0.897606,-0.0539597
1865,1741,244,190,1307,0.933512,-0.0343871
1928,1813,269,197,1347,0.940353,-0.0307404
1935,1737,256,209,1272,0.897674,-0.0539216
1922,1780,284,205,1291,0.926119,-0.0383576
1922,1729,246,186,1297,0.899584,-0.0528622
1846,1819,268,201,1350,0.985374,-0.00736698
1885,1750,278,188,1284,0.928382,-0.0371389
1934,1704,247,190,1267,0.881075,-0.0632216
1831,1764,259,201,1304,0.963408,-0.018637
1869,1736,275,193,1268,0.928839,-0.0368932
1901,1701,246,180,1275,0.894792,-0.0555247
1910,1722,261,193,1268,0.901571,-0.0517621
1856,1744,246,193,1305,0.939655,-0.0311111
1882,1732,257,172,1303,0.920298,-0.0415053
1900,1781,272,183,1326,0.937368,-0.0323282
1832,1729,243,193,1293,0.943777,-0.0289245
1922,1722,256,177,1289,0.895942,-0.0548847
1882,1728,258,189,1281,0.918172,-0.0426593
1943,1751,242,190,1319,0.901184,-0.0519762
1913,1771,263,183,1325,0.925771,-0.0385451
1904,1722,267,183,1272,0.904412,-0.0501931
1902,1725,263,189,1273,0.90694,-0.0488007
1936,1703,252,157,1294,0.879649,-0.0640286
1883,1673,236,181,1256,0.888476,-0.0590551
1907,1758,273,182,1303,0.921867,-0.0406548
1921,1757,271,207,1279,0.914628,-0.0445895
1937,1724,265,173,1286,0.890036,-0.0581808
1946,1726,249,163,1314,0.886948,-0.0599129
1908,1708,251,195,1262,0.895178,-0.0553097
1892,1803,278,188,1337,0.95296,-0.0240866
1941,1714,246,176,1292,0.88305,-0.0621067
1855,1753,283,192,1278,0.945013,-0.0282705
1881,1746,254,202,1290,0.92823,-0.0372208
1914,1753,251,184,1318,0.915883,-0.0439051
1906,1733,268,191,1274,0.909234,-0.0475405
1893,1754,256,199,1299,0.926572,-0.0381135
1927,1709,262,180,1267,0.886871,-0.059956
1849,1746,256,186,1304,0.944294,-0.0286509
1888,1752,253,185,1314,0.927966,-0.0373626
1924,1677,278,184,1215,0.871622,-0.0685921
1849,1806,242,204,1360,0.976744,-0.0117647
1872,1733,247,212,1274,0.925748,-0.0385576
1901,1658,238,187,1233,0.872173,-0.0682776
1910,1662,238,176,1248,0.870157,-0.0694289
1890,1754,252,196,1306,0.928042,-0.0373216
1932,1800,257,204,1339,0.931677,-0.0353698
1940,1715,258,195,1262,0.884021,-0.0615595
1909,1758,255,173,1330,0.920901,-0.0411781
1856,1738,243,184,1311,0.936422,-0.0328325
1891,1763,264,184,1315,0.932311,-0.0350301
1878,1742,250,186,1306,0.927583,-0.0375691
1942,1711,235,148,1328,0.88105,-0.0632357
1884,1766,267,185,1314,0.937367,-0.0323288
1922,1732,255,194,1283,0.901145,-0.0519978
1908,1767,275,193,1299,0.926101,-0.0383673
1929,1716,232,182,1302,0.88958,-0.0584362
1937,1689,236,182,1271,0.871967,-0.0683949
1878,1709,236,167,1306,0.910011,-0.0471146
1923,1701,251,180,1270,0.884555,-0.0612583
1905,1688,239,186,1263,0.886089,-0.0603952
1889,1704,242,180,1282,0.902065,-0.051489
1872,1734,240,186,1308,0.926282,-0.0382696
1857,1742,251,184,1307,0.938072,-0.0319533
1887,1701,227,196,1278,0.901431,-0.0518395
1905,1719,246,185,1288,0.902362,-0.0513245
1958,1733,279,189,1265,0.885087,-0.0609591
1836,1745,246,172,1327,0.950436,-0.0254119
1917,1644,242,179,1223,0.85759,-0.0766639
1921,1758,240,191,1327,0.915148,-0.0443055
1886,1665,238,158,1269,0.882821,-0.062236
1856,1751,262,180,1309,0.943427,-0.0291101
1850,1727,233,186,1308,0.933514,-0.0343864
1933,1719,240,198,1281,0.889291,-0.058598
1908,1708,259,187,1262,0.895178,-0.0553097
1887,1777,263,197,1317,0.941706,-0.0300218
1875,1751,263,180,1308,0.933867,-0.0341975
1923,1743,260,188,1295,0.906396,-0.0490998
1867,1708,240,191,1277,0.914837,-0.0444755
1890,1759,264,175,1320,0.930688,-0.0359002
1903,1797,245,183,1369,0.944298,-0.0286486
1900,1709,264,175,1270,0.899474,-0.0529232
1894,1729,240,185,1304,0.912883,-0.0455424
1914,1711,273,180,1258,0.893939,-0.056
1929,1694,228,173,1293,0.878175,-0.0648634
1848,1731,247,180,1304,0.936688,-0.0326907
1864,1697,219,187,1291,0.910408,-0.0468969
1893,1754,240,199,1315,0.926572,-0.0381135
1883,1707,237,162,1308,0.906532,-0.0490251
1890,1770,262,164,1344,0.936508,-0.0327869
1894,1638,222,162,1254,0.864836,-0.0724802
1869,1766,254,191,1321,0.94489,-0.0283356
1912,1753,273,182,1298,0.916841,-0.0433834
1908,1784,288,160,1336,0.93501,-0.0335861
