rep,selCoeff,pnps,pnps_alt,neutmuts,delmuts,m1muts,m2muts,m3muts
1,-0.001,1.08974,0.0429448,78,85,85,0,0
1,-0.01,0.615385,-0.238095,78,48,0,48,0
1,-0.1,0.268293,-0.576923,82,22,0,0,22
1,-0.001,1.05195,0.0253165,77,81,81,0,0
1,-0.01,0.810811,-0.104478,74,60,0,60,0
1,-0.1,0.163043,-0.719626,92,15,0,0,15
1,-0.001,1.14607,0.0680628,89,102,102,0,0
1,-0.01,0.860465,-0.075,86,74,0,74,0
1,-0.1,0.19802,-0.669421,101,20,0,0,20
1,-0.001,1.22581,0.101449,93,114,114,0,0
1,-0.01,0.647059,-0.214286,85,55,0,55,0
1,-0.1,0.24359,-0.608247,78,19,0,0,19
1,-0.001,1.2381,0.106383,84,104,104,0,0
1,-0.01,0.694444,-0.180328,72,50,0,50,0
1,-0.1,0.264706,-0.581395,102,27,0,0,27
1,-0.001,1.16071,0.0743802,56,65,65,0,0
1,-0.01,0.585859,-0.261146,99,58,0,58,0
1,-0.1,0.380952,-0.448276,84,32,0,0,32
1,-0.001,1.12048,0.0568182,83,93,93,0,0
1,-0.01,0.606742,-0.244755,89,54,0,54,0
1,-0.1,0.293333,-0.546392,75,22,0,0,22
1,-0.001,0.857143,-0.0769231,91,78,78,0,0
1,-0.01,0.606061,-0.245283,99,60,0,60,0
1,-0.1,0.28125,-0.560976,96,27,0,0,27
1,-0.001,0.903846,-0.0505051,104,94,94,0,0
1,-0.01,0.622807,-0.232432,114,71,0,71,0
1,-0.1,0.217822,-0.642276,101,22,0,0,22
1,-0.001,0.758621,-0.137255,87,66,66,0,0
1,-0.01,0.659341,-0.205298,91,60,0,60,0
1,-0.1,0.425287,-0.403226,87,37,0,0,37
1,-0.001,0.783784,-0.121212,74,58,58,0,0
1,-0.01,0.6625,-0.203008,80,53,0,53,0
1,-0.1,0.27551,-0.568,98,27,0,0,27
1,-0.001,0.72043,-0.1625,93,67,67,0,0
1,-0.01,0.815385,-0.101695,65,53,0,53,0
1,-0.1,0.382716,-0.446429,81,31,0,0,31
1,-0.001,1.05479,0.0266667,73,77,77,0,0
1,-0.01,0.711111,-0.168831,90,64,0,64,0
1,-0.1,0.252632,-0.596639,95,24,0,0,24
1,-0.001,0.96,-0.0204082,75,72,72,0,0
1,-0.01,0.452381,-0.377049,84,38,0,38,0
1,-0.1,0.204301,-0.660714,93,19,0,0,19
1,-0.001,1.01124,0.00558659,89,90,90,0,0
1,-0.01,0.759494,-0.136691,79,60,0,60,0
1,-0.1,0.25974,-0.587629,77,20,0,0,20
1,-0.001,1.01351,0.00671141,74,75,75,0,0
1,-0.01,0.638889,-0.220339,72,46,0,46,0
1,-0.1,0.315789,-0.52,95,30,0,0,30
1,-0.001,0.941748,-0.03,103,97,97,0,0
1,-0.01,0.486726,-0.345238,113,55,0,55,0
1,-0.1,0.298701,-0.54,77,23,0,0,23
1,-0.001,1.25,0.111111,88,110,110,0,0
1,-0.01,0.966667,-0.0169492,60,58,0,58,0
1,-0.1,0.314607,-0.521368,89,28,0,0,28
1,-0.001,1.1383,0.0646766,94,107,107,0,0
1,-0.01,0.722892,-0.160839,83,60,0,60,0
1,-0.1,0.269231,-0.575758,104,28,0,0,28
1,-0.001,0.863636,-0.0731707,88,76,76,0,0
1,-0.01,0.848485,-0.0819672,99,84,0,84,0
1,-0.1,0.237624,-0.616,101,24,0,0,24
1,-0.001,1.0,0.0,83,83,83,0,0
1,-0.01,0.810811,-0.104478,74,60,0,60,0
1,-0.1,0.25,-0.6,88,22,0,0,22
1,-0.001,1.09677,0.0461538,93,102,102,0,0
1,-0.01,0.515152,-0.32,99,51,0,51,0
1,-0.1,0.259615,-0.587786,104,27,0,0,27
1,-0.001,0.819048,-0.0994764,105,86,86,0,0
1,-0.01,0.545455,-0.294118,77,42,0,42,0
1,-0.1,0.252874,-0.59633,87,22,0,0,22
1,-0.001,1.05941,0.0288462,101,107,107,0,0
1,-0.01,0.638554,-0.220588,83,53,0,53,0
1,-0.1,0.3125,-0.52381,80,25,0,0,25
1,-0.001,0.988372,-0.00584795,86,85,85,0,0
1,-0.01,0.575472,-0.269461,106,61,0,61,0
1,-0.1,0.340909,-0.491525,88,30,0,0,30
1,-0.001,0.903226,-0.0508475,93,84,84,0,0
1,-0.01,0.534653,-0.303226,101,54,0,54,0
1,-0.1,0.293478,-0.546218,92,27,0,0,27
1,-0.001,1.03371,0.0165746,89,92,92,0,0
1,-0.01,0.505882,-0.328125,85,43,0,43,0
1,-0.1,0.189655,-0.681159,116,22,0,0,22
1,-0.001,1.03636,0.0178571,110,114,114,0,0
1,-0.01,0.659091,-0.205479,88,58,0,58,0
1,-0.1,0.454545,-0.375,66,30,0,0,30
1,-0.001,0.682353,-0.188811,85,58,58,0,0
1,-0.01,0.568627,-0.275,102,58,0,58,0
1,-0.1,0.289474,-0.55102,114,33,0,0,33
1,-0.001,0.894118,-0.0559006,85,76,76,0,0
1,-0.01,0.576087,-0.268966,92,53,0,53,0
1,-0.1,0.306667,-0.530612,75,23,0,0,23
1,-0.001,0.941176,-0.030303,85,80,80,0,0
1,-0.01,0.457447,-0.372263,94,43,0,43,0
1,-0.1,0.309278,-0.527559,97,30,0,0,30
1,-0.001,0.936709,-0.0326797,79,74,74,0,0
1,-0.01,0.659574,-0.205128,94,62,0,62,0
1,-0.1,0.340909,-0.491525,88,30,0,0,30
1,-0.001,0.850467,-0.0808081,107,91,91,0,0
1,-0.01,0.80597,-0.107438,67,54,0,54,0
1,-0.1,0.328947,-0.50495,76,25,0,0,25
1,-0.001,1.11765,0.0555556,85,95,95,0,0
1,-0.01,0.632911,-0.224806,79,50,0,50,0
1,-0.1,0.26087,-0.586207,92,24,0,0,24
1,-0.001,0.96875,-0.015873,96,93,93,0,0
1,-0.01,0.726027,-0.15873,73,53,0,53,0
1,-0.1,0.376471,-0.452991,85,32,0,0,32
1,-0.001,0.89,-0.0582011,100,89,89,0,0
1,-0.01,0.658537,-0.205882,82,54,0,54,0
1,-0.1,0.224719,-0.633028,89,20,0,0,20
1,-0.001,1.24324,0.108434,74,92,92,0,0
1,-0.01,0.532468,-0.305085,77,41,0,41,0
1,-0.1,0.546875,-0.292929,64,35,0,0,35
1,-0.001,1.06667,0.0322581,90,96,96,0,0
1,-0.01,0.75,-0.142857,72,54,0,54,0
1,-0.1,0.204545,-0.660377,88,18,0,0,18
1,-0.001,0.865979,-0.0718232,97,84,84,0,0
1,-0.01,0.542857,-0.296296,70,38,0,38,0
1,-0.1,0.134615,-0.762712,104,14,0,0,14
1,-0.001,1.01031,0.00512821,97,98,98,0,0
1,-0.01,0.72,-0.162791,75,54,0,54,0
1,-0.1,0.297619,-0.541284,84,25,0,0,25
1,-0.001,0.875,-0.0666667,80,70,70,0,0
1,-0.01,0.536842,-0.30137,95,51,0,51,0
1,-0.1,0.23,-0.626016,100,23,0,0,23
1,-0.001,0.777778,-0.125,81,63,63,0,0
1,-0.01,0.639535,-0.219858,86,55,0,55,0
1,-0.1,0.162162,-0.72093,111,18,0,0,18
1,-0.001,0.835052,-0.0898876,97,81,81,0,0
1,-0.01,0.602151,-0.248322,93,56,0,56,0
1,-0.1,0.370787,-0.459016,89,33,0,0,33
1,-0.001,0.94382,-0.0289017,89,84,84,0,0
1,-0.01,0.766234,-0.132353,77,59,0,59,0
1,-0.1,0.306818,-0.530435,88,27,0,0,27
1,-0.001,1.05063,0.0246914,79,83,83,0,0
1,-0.01,0.586667,-0.260504,75,44,0,44,0
1,-0.1,0.305882,-0.531532,85,26,0,0,26
1,-0.001,0.684685,-0.187166,111,76,76,0,0
1,-0.01,0.617978,-0.236111,89,55,0,55,0
1,-0.1,0.28125,-0.560976,64,18,0,0,18
1,-0.001,0.957447,-0.0217391,94,90,90,0,0
1,-0.01,0.546512,-0.293233,86,47,0,47,0
1,-0.1,0.306931,-0.530303,101,31,0,0,31
1,-0.001,0.978261,-0.010989,92,90,90,0,0
1,-0.01,0.536082,-0.302013,97,52,0,52,0
1,-0.1,0.371134,-0.458647,97,36,0,0,36
1,-0.001,0.88172,-0.0628571,93,82,82,0,0
1,-0.01,0.636364,-0.222222,77,49,0,49,0
1,-0.1,0.244681,-0.606838,94,23,0,0,23
1,-0.001,0.975,-0.0126582,80,78,78,0,0
1,-0.01,0.791667,-0.116279,72,57,0,57,0
1,-0.1,0.298969,-0.539683,97,29,0,0,29
1,-0.001,1.0241,0.0119048,83,85,85,0,0
1,-0.01,0.65625,-0.207547,96,63,0,63,0
1,-0.1,0.261905,-0.584906,84,22,0,0,22
1,-0.001,1.10989,0.0520833,91,101,101,0,0
1,-0.01,0.73494,-0.152778,83,61,0,61,0
1,-0.1,0.228261,-0.628319,92,21,0,0,21
1,-0.001,1.26562,0.117241,64,81,81,0,0
1,-0.01,0.702381,-0.174825,84,59,0,59,0
1,-0.1,0.1875,-0.684211,96,18,0,0,18
1,-0.001,1.36047,0.152709,86,117,117,0,0
1,-0.01,0.61039,-0.241935,77,47,0,47,0
1,-0.1,0.269663,-0.575221,89,24,0,0,24
1,-0.001,1.46154,0.1875,65,95,95,0,0
1,-0.01,0.525,-0.311475,80,42,0,42,0
1,-0.1,0.313433,-0.522727,67,21,0,0,21
1,-0.001,0.849462,-0.0813953,93,79,79,0,0
1,-0.01,0.545455,-0.294118,88,48,0,48,0
1,-0.1,0.142857,-0.75,91,13,0,0,13
1,-0.001,1.24719,0.11,89,111,111,0,0
1,-0.01,0.693182,-0.181208,88,61,0,61,0
1,-0.1,0.277778,-0.565217,90,25,0,0,25
1,-0.001,0.904255,-0.0502793,94,85,85,0,0
1,-0.01,0.557143,-0.284404,70,39,0,39,0
1,-0.1,0.21,-0.652893,100,21,0,0,21
1,-0.001,1.09302,0.0444444,86,94,94,0,0
1,-0.01,0.75,-0.142857,84,63,0,63,0
1,-0.1,0.361111,-0.469388,108,39,0,0,39
1,-0.001,0.879121,-0.0643275,91,80,80,0,0
1,-0.01,0.535354,-0.302632,99,53,0,53,0
1,-0.1,0.355263,-0.475728,76,27,0,0,27
1,-0.001,1.22826,0.102439,92,113,113,0,0
1,-0.01,0.407407,-0.421053,81,33,0,33,0
1,-0.1,0.247423,-0.603306,97,24,0,0,24
1,-0.001,0.75,-0.142857,92,69,69,0,0
1,-0.01,0.578125,-0.267327,64,37,0,37,0
1,-0.1,0.259259,-0.588235,81,21,0,0,21
1,-0.001,0.950617,-0.0253165,81,77,77,0,0
1,-0.01,0.808989,-0.10559,89,72,0,72,0
1,-0.1,0.2,-0.666667,100,20,0,0,20
1,-0.001,1.09756,0.0465116,82,90,90,0,0
1,-0.01,0.724638,-0.159664,69,50,0,50,0
1,-0.1,0.19802,-0.669421,101,20,0,0,20
1,-0.001,1.11111,0.0526316,72,80,80,0,0
1,-0.01,0.686747,-0.185714,83,57,0,57,0
1,-0.1,0.218391,-0.641509,87,19,0,0,19
1,-0.001,0.87,-0.0695187,100,87,87,0,0
1,-0.01,0.560976,-0.28125,82,46,0,46,0
1,-0.1,0.262626,-0.584,99,26,0,0,26
1,-0.001,1.21951,0.0989011,82,100,100,0,0
1,-0.01,0.819444,-0.0992366,72,59,0,59,0
1,-0.1,0.458333,-0.371429,72,33,0,0,33
1,-0.001,1.14474,0.0674847,76,87,87,0,0
1,-0.01,0.732394,-0.154472,71,52,0,52,0
1,-0.1,0.236842,-0.617021,76,18,0,0,18
1,-0.001,0.833333,-0.0909091,84,70,70,0,0
1,-0.01,0.677083,-0.192547,96,65,0,65,0
1,-0.1,0.333333,-0.5,84,28,0,0,28
1,-0.001,1.33766,0.144444,77,103,103,0,0
1,-0.01,0.5,-0.333333,92,46,0,46,0
1,-0.1,0.305882,-0.531532,85,26,0,0,26
1,-0.001,1.25676,0.113772,74,93,93,0,0
1,-0.01,0.608696,-0.243243,69,42,0,42,0
1,-0.1,0.216981,-0.643411,106,23,0,0,23
1,-0.001,0.956989,-0.021978,93,89,89,0,0
1,-0.01,0.56338,-0.279279,71,40,0,40,0
1,-0.1,0.205357,-0.659259,112,23,0,0,23
1,-0.001,0.864583,-0.0726257,96,83,83,0,0
1,-0.01,0.463918,-0.366197,97,45,0,45,0
1,-0.1,0.240506,-0.612245,79,19,0,0,19
1,-0.001,0.83908,-0.0875,87,73,73,0,0
1,-0.01,0.724638,-0.159664,69,50,0,50,0
1,-0.1,0.260417,-0.586777,96,25,0,0,25
1,-0.001,1.11429,0.0540541,70,78,78,0,0
1,-0.01,0.684783,-0.187097,92,63,0,63,0
1,-0.1,0.263736,-0.582609,91,24,0,0,24
1,-0.001,0.987805,-0.00613497,82,81,81,0,0
1,-0.01,0.602564,-0.248,78,47,0,47,0
1,-0.1,0.263158,-0.583333,95,25,0,0,25
1,-0.001,1.43939,0.180124,66,95,95,0,0
1,-0.01,0.681159,-0.189655,69,47,0,47,0
1,-0.1,0.295455,-0.54386,88,26,0,0,26
1,-0.001,1.35,0.148936,60,81,81,0,0
1,-0.01,0.655914,-0.207792,93,61,0,61,0
1,-0.1,0.21,-0.652893,100,21,0,0,21
1,-0.001,1.05682,0.0276243,88,93,93,0,0
1,-0.01,0.663043,-0.202614,92,61,0,61,0
1,-0.1,0.266667,-0.578947,90,24,0,0,24
1,-0.001,0.966292,-0.0171429,89,86,86,0,0
1,-0.01,0.560748,-0.281437,107,60,0,60,0
1,-0.1,0.230769,-0.625,91,21,0,0,21
1,-0.001,0.902778,-0.0510949,72,65,65,0,0
1,-0.01,0.884615,-0.0612245,78,69,0,69,0
1,-0.1,0.294118,-0.545455,102,30,0,0,30
1,-0.001,0.962025,-0.0193548,79,76,76,0,0
1,-0.01,0.597701,-0.251799,87,52,0,52,0
1,-0.1,0.116505,-0.791304,103,12,0,0,12
1,-0.001,0.948454,-0.026455,97,92,92,0,0
1,-0.01,0.680556,-0.190083,72,49,0,49,0
1,-0.1,0.274725,-0.568966,91,25,0,0,25
1,-0.001,0.915789,-0.043956,95,87,87,0,0
1,-0.01,0.528736,-0.308271,87,46,0,46,0
1,-0.1,0.27907,-0.563636,86,24,0,0,24
1,-0.001,0.87013,-0.0694444,77,67,67,0,0
1,-0.01,0.691358,-0.182482,81,56,0,56,0
