neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
111,215,31,98,86,1.93694,0.319018
120,208,29,93,86,1.73333,0.268293
121,214,35,92,87,1.7686,0.277612
120,216,27,101,88,1.8,0.285714
120,223,33,97,93,1.85833,0.300292
121,210,32,94,84,1.73554,0.268882
112,218,34,104,80,1.94643,0.321212
117,223,44,97,82,1.90598,0.311765
119,221,37,99,85,1.85714,0.3
126,216,34,94,88,1.71429,0.263158
116,208,31,96,81,1.7931,0.283951
113,219,33,94,92,1.93805,0.319277
128,206,31,97,78,1.60938,0.233533
119,214,31,101,82,1.79832,0.285285
120,229,38,106,85,1.90833,0.312321
124,219,39,98,82,1.76613,0.276968
121,211,36,94,81,1.7438,0.271084
124,211,35,95,81,1.70161,0.259701
119,224,32,103,89,1.88235,0.306122
126,227,33,106,88,1.80159,0.286119
114,211,32,97,82,1.85088,0.298462
125,231,36,110,85,1.848,0.297753
121,215,35,97,83,1.77686,0.279762
121,225,35,97,93,1.8595,0.300578
126,220,33,99,88,1.74603,0.271676
115,220,35,98,87,1.91304,0.313433
117,212,35,94,83,1.81197,0.288754
114,203,25,93,85,1.7807,0.280757
120,216,35,99,82,1.8,0.285714
126,219,32,100,87,1.7381,0.269565
115,215,32,99,84,1.86957,0.30303
116,207,37,94,76,1.78448,0.281734
128,211,33,97,81,1.64844,0.244838
116,231,40,102,89,1.99138,0.331412
119,215,30,102,83,1.80672,0.287425
120,224,39,93,92,1.86667,0.302326
124,208,29,92,87,1.67742,0.253012
122,221,39,102,80,1.81148,0.28863
123,212,35,90,87,1.72358,0.265672
114,206,34,91,81,1.80702,0.2875
123,220,35,100,85,1.78862,0.282799
126,217,36,95,86,1.72222,0.265306
124,212,31,97,84,1.70968,0.261905
118,221,35,102,84,1.87288,0.303835
120,220,32,102,86,1.83333,0.294118
117,209,32,90,87,1.78632,0.282209
115,230,36,102,92,2.0,0.333333
117,216,38,93,85,1.84615,0.297297
120,219,35,99,85,1.825,0.292035
125,225,32,104,89,1.8,0.285714
132,212,33,95,84,1.60606,0.232558
122,206,30,94,82,1.68852,0.256098
125,230,39,104,87,1.84,0.295775
121,208,34,91,83,1.71901,0.264438
120,199,28,91,80,1.65833,0.247649
113,211,35,96,80,1.86726,0.302469
111,212,34,94,84,1.90991,0.312693
123,222,35,102,85,1.80488,0.286957
120,225,35,102,88,1.875,0.304348
123,212,29,98,85,1.72358,0.265672
128,224,34,105,85,1.75,0.272727
111,228,37,104,87,2.05405,0.345133
117,221,39,100,82,1.88889,0.307692
107,203,32,96,75,1.8972,0.309677
122,217,32,97,88,1.77869,0.280236
127,211,37,95,79,1.66142,0.248521
125,220,34,102,84,1.76,0.275362
117,216,36,94,86,1.84615,0.297297
121,211,36,99,76,1.7438,0.271084
112,229,39,102,88,2.04464,0.343109
112,216,32,94,90,1.92857,0.317073
124,228,35,99,94,1.83871,0.295455
120,235,39,109,87,1.95833,0.323944
121,228,36,106,86,1.8843,0.30659
125,217,40,96,81,1.736,0.269006
119,224,36,95,93,1.88235,0.306122
115,218,38,98,82,1.89565,0.309309
113,201,34,83,84,1.77876,0.280255
126,209,29,95,85,1.65873,0.247761
124,228,38,100,90,1.83871,0.295455
118,220,33,102,85,1.86441,0.301775
131,221,31,101,89,1.68702,0.255682
114,230,31,113,86,2.01754,0.337209
119,213,31,98,84,1.78992,0.283133
121,221,34,103,84,1.82645,0.292398
122,213,32,94,87,1.7459,0.271642
116,215,42,95,78,1.85345,0.299094
122,219,41,94,84,1.79508,0.284457
125,220,38,94,88,1.76,0.275362
124,214,38,93,83,1.72581,0.266272
118,220,36,104,80,1.86441,0.301775
120,210,33,96,81,1.75,0.272727
114,212,33,99,80,1.85965,0.300613
115,216,33,98,85,1.87826,0.305136
114,214,34,99,81,1.87719,0.304878
116,212,31,100,81,1.82759,0.292683
117,222,34,100,88,1.89744,0.309735
126,218,41,93,84,1.73016,0.267442
125,219,36,97,86,1.752,0.273256
109,224,36,104,84,2.05505,0.345345
