neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
129,216,30,74,112,1.67442,0.252174
127,226,36,81,109,1.77953,0.280453
123,218,31,76,111,1.77236,0.278592
131,213,27,81,105,1.62595,0.238372
125,212,31,79,102,1.696,0.25816
131,223,35,80,108,1.70229,0.259887
125,214,28,80,106,1.712,0.262537
121,210,30,75,105,1.73554,0.268882
130,218,34,82,102,1.67692,0.252874
125,211,30,76,105,1.688,0.255952
131,208,31,72,105,1.58779,0.227139
131,215,33,72,110,1.64122,0.242775
133,222,34,80,108,1.66917,0.250704
119,213,27,78,108,1.78992,0.283133
122,218,33,76,109,1.78689,0.282353
126,208,28,79,101,1.65079,0.245509
126,215,34,75,106,1.70635,0.260997
132,215,31,81,103,1.62879,0.239193
131,211,31,77,103,1.61069,0.233918
134,217,34,75,108,1.6194,0.236467
125,211,31,74,106,1.688,0.255952
132,204,30,71,103,1.54545,0.214286
120,209,31,72,106,1.74167,0.270517
131,217,33,82,102,1.65649,0.247126
123,210,30,75,105,1.70732,0.261261
124,212,34,76,102,1.70968,0.261905
129,206,31,71,104,1.5969,0.229851
127,213,34,75,104,1.67717,0.252941
125,218,30,81,107,1.744,0.271137
123,218,31,80,107,1.77236,0.278592
138,218,29,79,110,1.57971,0.224719
125,224,31,81,112,1.792,0.283668
123,206,27,75,104,1.6748,0.25228
125,209,31,77,101,1.672,0.251497
127,208,32,71,105,1.6378,0.241791
126,214,32,74,108,1.69841,0.258824
120,222,32,85,105,1.85,0.298246
135,211,30,76,105,1.56296,0.219653
129,206,27,68,111,1.5969,0.229851
125,206,26,79,101,1.648,0.244713
130,215,31,77,107,1.65385,0.246377
124,212,34,75,103,1.70968,0.261905
127,203,31,70,102,1.59843,0.230303
131,221,38,76,107,1.68702,0.255682
125,208,29,76,103,1.664,0.249249
124,216,25,85,106,1.74194,0.270588
125,215,30,77,108,1.72,0.264706
126,211,35,74,102,1.6746,0.252226
137,218,37,79,102,1.59124,0.228169
131,216,30,81,105,1.64885,0.244957
123,223,32,80,111,1.81301,0.289017
128,215,32,82,101,1.67969,0.253644
122,211,32,79,100,1.72951,0.267267
129,202,25,77,100,1.56589,0.220544
129,224,37,82,105,1.73643,0.269122
122,224,34,79,111,1.83607,0.294798
140,216,35,75,106,1.54286,0.213483
126,217,33,75,109,1.72222,0.265306
121,212,26,80,106,1.75207,0.273273
127,211,26,79,106,1.66142,0.248521
123,218,35,72,111,1.77236,0.278592
125,226,30,86,110,1.808,0.287749
126,204,29,73,102,1.61905,0.236364
127,209,29,72,108,1.64567,0.244048
129,211,29,77,105,1.63566,0.241176
128,218,29,77,112,1.70312,0.260116
126,204,28,74,102,1.61905,0.236364
127,224,31,83,110,1.76378,0.276353
124,195,27,65,103,1.57258,0.222571
122,221,35,78,108,1.81148,0.28863
128,222,31,79,112,1.73438,0.268571
118,209,27,80,102,1.77119,0.278287
113,213,32,71,110,1.88496,0.306748
127,219,32,80,107,1.72441,0.265896
124,209,31,76,102,1.68548,0.255255
128,219,34,83,102,1.71094,0.262248
129,206,30,69,107,1.5969,0.229851
122,199,27,74,98,1.63115,0.239875
132,213,33,75,105,1.61364,0.234783
131,221,32,79,110,1.68702,0.255682
128,217,41,76,100,1.69531,0.257971
126,219,31,82,106,1.7381,0.269565
123,212,30,73,109,1.72358,0.265672
122,213,28,76,109,1.7459,0.271642
122,224,35,88,101,1.83607,0.294798
130,224,31,82,111,1.72308,0.265537
127,228,37,83,108,1.79528,0.284507
127,214,27,81,106,1.68504,0.255132
133,231,38,82,111,1.73684,0.269231
128,214,27,77,110,1.67188,0.251462
132,215,33,72,110,1.62879,0.239193
121,215,35,80,100,1.77686,0.279762
129,216,31,80,105,1.67442,0.252174
128,217,29,85,103,1.69531,0.257971
133,216,33,73,110,1.62406,0.237822
122,219,31,79,109,1.79508,0.284457
128,202,28,72,102,1.57812,0.224242
121,216,29,78,109,1.78512,0.281899
125,211,33,71,107,1.688,0.255952
130,211,32,72,107,1.62308,0.237537
