neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
7533,7420,901,1313,5206,0.984999,-0.00755701
7654,7497,922,1327,5248,0.979488,-0.0103624
7572,7367,848,1317,5202,0.972927,-0.0137225
7543,7540,886,1394,5260,0.999602,-0.000198899
7558,7425,869,1278,5278,0.982403,-0.00887673
7553,7322,837,1331,5154,0.969416,-0.0155294
7557,7402,883,1279,5240,0.979489,-0.0103617
7534,7324,871,1285,5168,0.972126,-0.0141338
7506,7544,894,1319,5331,1.00506,0.00252492
7521,7436,899,1304,5233,0.988698,-0.00568296
7453,7363,852,1299,5212,0.987924,-0.00607451
7520,7398,860,1335,5203,0.983777,-0.00817804
7444,7342,854,1310,5178,0.986298,-0.00689842
7536,7263,861,1238,5164,0.963774,-0.0184472
7575,7455,894,1332,5229,0.984158,-0.00798403
7524,7356,871,1318,5167,0.977671,-0.0112903
7561,7385,869,1318,5198,0.976723,-0.0117757
7613,7393,846,1315,5232,0.971102,-0.0146608
7484,7339,867,1277,5195,0.980625,-0.0097821
7579,7400,829,1316,5255,0.976382,-0.0119501
7478,7315,880,1284,5151,0.978203,-0.0110187
7617,7382,840,1339,5203,0.969148,-0.0156677
7599,7428,862,1305,5261,0.977497,-0.0113795
7566,7484,863,1330,5291,0.989162,-0.0054485
7534,7401,883,1309,5209,0.982347,-0.00890526
7484,7383,857,1296,5230,0.986505,-0.00679357
7536,7376,888,1258,5230,0.978769,-0.0107296
7522,7330,844,1322,5164,0.974475,-0.0129276
7574,7445,880,1330,5235,0.982968,-0.00858912
7560,7401,845,1335,5221,0.978968,-0.0106276
7517,7412,891,1286,5235,0.986032,-0.00703329
7517,7371,852,1322,5197,0.980577,-0.00980656
7634,7495,881,1345,5269,0.981792,-0.00918765
7545,7352,834,1299,5219,0.97442,-0.0129556
7570,7487,916,1317,5254,0.989036,-0.00551239
7637,7389,879,1304,5206,0.967527,-0.0165047
7460,7361,811,1323,5227,0.986729,-0.00667971
7494,7416,900,1330,5186,0.989592,-0.00523139
7631,7381,889,1282,5210,0.967239,-0.0166533
7476,7377,829,1346,5202,0.986758,-0.00666532
7570,7383,880,1312,5191,0.975297,-0.0125059
7580,7473,866,1391,5216,0.985884,-0.00710822
7528,7427,870,1317,5240,0.986583,-0.00675359
7606,7363,857,1356,5150,0.968052,-0.0162335
7540,7357,873,1289,5195,0.975729,-0.0122844
7566,7446,848,1313,5285,0.98414,-0.00799361
7486,7447,840,1291,5316,0.99479,-0.00261167
7598,7321,853,1281,5187,0.963543,-0.0185669
7608,7420,885,1316,5219,0.975289,-0.01251
7569,7384,894,1326,5164,0.975558,-0.0123721
7507,7536,873,1347,5316,1.00386,0.00192781
7615,7325,827,1309,5189,0.961917,-0.019411
7492,7394,845,1296,5253,0.986919,-0.00658337
7538,7359,825,1322,5212,0.976254,-0.0120158
7607,7504,917,1337,5250,0.98646,-0.00681623
7578,7412,908,1298,5206,0.978094,-0.011074
7641,7480,860,1355,5265,0.978929,-0.0106474
7564,7354,847,1326,5181,0.972237,-0.014077
7545,7397,871,1315,5211,0.980384,-0.00990497
7501,7438,866,1343,5229,0.991601,-0.00421715
7566,7341,802,1370,5169,0.970262,-0.0150936
7589,7400,848,1307,5245,0.975096,-0.0126092
7503,7354,857,1260,5237,0.980141,-0.0100289
7613,7385,868,1308,5209,0.970051,-0.015202
7501,7415,864,1305,5246,0.988535,-0.00576562
7563,7439,885,1291,5263,0.983604,-0.00826556
7595,7358,889,1267,5202,0.968795,-0.0158497
7530,7475,928,1309,5238,0.992696,-0.00366544
7603,7405,879,1279,5247,0.973958,-0.013193
7448,7393,901,1265,5227,0.992615,-0.00370595
7532,7413,846,1325,5242,0.984201,-0.00796253
7634,7468,897,1277,5294,0.978255,-0.0109919
7518,7404,822,1323,5259,0.984836,-0.00763973
7565,7403,837,1359,5207,0.978586,-0.0108231
7500,7359,869,1315,5175,0.9812,-0.0094892
7566,7386,850,1302,5234,0.976209,-0.0120385
7478,7335,851,1316,5168,0.980877,-0.00965368
7601,7436,872,1334,5230,0.978292,-0.0109729
7585,7359,827,1322,5210,0.970204,-0.0151231
7485,7413,883,1302,5228,0.990381,-0.00483286
7509,7430,880,1357,5193,0.989479,-0.00528817
7541,7527,880,1345,5302,0.998143,-0.000929121
7609,7484,883,1372,5229,0.983572,-0.00828199
7566,7498,865,1332,5301,0.991012,-0.00451407
7509,7424,878,1372,5174,0.98868,-0.00569209
7514,7341,845,1336,5160,0.976976,-0.0116459
7575,7385,849,1284,5252,0.974917,-0.0127005
7524,7411,879,1319,5213,0.984981,-0.00756612
7547,7312,876,1239,5197,0.968862,-0.0158153
7536,7435,874,1334,5227,0.986598,-0.00674638
7593,7472,893,1313,5266,0.984064,-0.00803186
7554,7461,889,1272,5300,0.987689,-0.00619381
7584,7379,837,1305,5237,0.972969,-0.0137005
7590,7452,853,1330,5269,0.981818,-0.00917431
7588,7491,922,1310,5259,0.987217,-0.00643279
7613,7406,851,1305,5250,0.97281,-0.0137825
7616,7409,867,1346,5196,0.97282,-0.013777
7511,7360,850,1342,5168,0.979896,-0.010154
7505,7434,856,1319,5259,0.99054,-0.00475266
7541,7492,869,1333,5290,0.993502,-0.0032595
