neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
554,555,63,123,369,1.00181,0.000901713
552,552,74,118,360,1.0,0.0
568,544,62,111,371,0.957746,-0.0215827
557,574,68,134,372,1.03052,0.0150309
556,532,77,97,358,0.956835,-0.0220588
559,541,59,111,371,0.9678,-0.0163636
555,549,70,117,362,0.989189,-0.00543478
569,543,66,120,357,0.954306,-0.0233813
549,568,59,116,393,1.03461,0.0170098
535,524,63,116,345,0.979439,-0.0103872
560,531,69,105,357,0.948214,-0.0265811
567,551,62,124,365,0.971781,-0.0143113
549,562,66,131,365,1.02368,0.0117012
560,565,77,132,356,1.00893,0.00444444
569,552,79,108,365,0.970123,-0.015165
553,556,67,125,364,1.00542,0.00270514
564,554,68,122,364,0.98227,-0.00894454
555,548,61,115,372,0.987387,-0.00634633
574,543,68,121,354,0.945993,-0.0277529
585,568,57,126,385,0.97094,-0.0147441
526,550,70,126,354,1.04563,0.0223048
580,527,67,116,344,0.908621,-0.0478771
536,555,66,129,360,1.03545,0.0174152
580,543,65,125,353,0.936207,-0.0329475
556,522,58,106,358,0.938849,-0.0315399
573,557,78,122,357,0.972077,-0.0141593
559,529,56,124,349,0.946333,-0.0275735
563,545,70,116,359,0.968028,-0.0162455
557,542,61,124,357,0.97307,-0.0136488
545,559,56,120,383,1.02569,0.0126812
564,575,70,116,389,1.0195,0.00965759
567,538,66,111,361,0.948854,-0.0262443
548,550,64,112,374,1.00365,0.00182149
574,557,76,117,364,0.970383,-0.0150309
548,542,68,117,357,0.989051,-0.00550459
549,553,67,123,363,1.00729,0.00362976
562,556,68,130,358,0.989324,-0.00536673
574,572,78,132,362,0.996516,-0.0017452
565,540,59,114,367,0.955752,-0.0226244
550,559,74,116,369,1.01636,0.00811542
558,541,60,119,362,0.969534,-0.0154686
546,553,72,119,362,1.01282,0.00636943
551,535,58,121,356,0.970962,-0.014733
557,564,73,130,361,1.01257,0.00624442
559,531,66,107,358,0.949911,-0.0256881
560,543,66,112,365,0.969643,-0.0154125
585,547,64,115,368,0.935043,-0.0335689
570,534,58,110,366,0.936842,-0.0326087
568,570,68,122,380,1.00352,0.00175747
577,558,56,123,379,0.967071,-0.0167401
573,560,79,121,360,0.977312,-0.011474
574,561,65,124,372,0.977352,-0.0114537
555,539,70,108,361,0.971171,-0.0146252
540,549,62,115,372,1.01667,0.00826446
548,569,74,119,376,1.03832,0.0188004
548,549,67,115,367,1.00182,0.000911577
565,537,57,116,364,0.950442,-0.0254083
580,573,76,126,371,0.987931,-0.00607112
553,561,72,127,362,1.01447,0.00718133
557,530,64,115,351,0.951526,-0.024839
566,540,68,118,354,0.954064,-0.0235081
581,535,66,113,356,0.920826,-0.0412186
548,524,64,117,343,0.956204,-0.0223881
565,555,60,122,373,0.982301,-0.00892857
566,552,67,120,365,0.975265,-0.0125224
563,555,75,121,359,0.98579,-0.00715564
566,526,52,115,359,0.929329,-0.03663
553,544,62,122,360,0.983725,-0.00820419
541,553,69,121,363,1.02218,0.0109689
576,544,67,119,358,0.944444,-0.0285714
563,525,62,114,349,0.932504,-0.0349265
559,520,66,99,355,0.930233,-0.0361446
575,560,76,129,355,0.973913,-0.0132159
563,568,65,133,370,1.00888,0.00442087
543,552,65,131,356,1.01657,0.00821918
550,557,69,124,364,1.01273,0.0063234
556,550,68,119,363,0.989209,-0.00542495
552,516,66,103,347,0.934783,-0.0337079
548,565,69,131,365,1.03102,0.015274
564,537,59,113,365,0.952128,-0.0245232
552,524,53,116,355,0.949275,-0.0260223
560,520,68,99,353,0.928571,-0.037037
589,554,64,114,376,0.940577,-0.0306212
567,545,66,118,361,0.961199,-0.0197842
563,552,65,125,362,0.980462,-0.00986547
564,551,64,117,370,0.97695,-0.0116592
567,546,75,126,345,0.962963,-0.0188679
572,566,72,130,364,0.98951,-0.00527241
574,559,70,118,371,0.973868,-0.0132392
563,521,60,108,353,0.9254,-0.0387454
555,554,77,122,355,0.998198,-0.000901713
560,528,63,115,350,0.942857,-0.0294118
564,575,74,125,376,1.0195,0.00965759
556,547,60,122,365,0.983813,-0.00815956
578,557,70,112,375,0.963668,-0.0185022
572,562,72,135,355,0.982517,-0.00881834
547,548,70,126,352,1.00183,0.000913242
560,560,81,112,367,1.0,0.0
549,538,65,115,358,0.979964,-0.0101196
571,549,72,111,366,0.961471,-0.0196429
