rep,selCoeff,pnps,pnps_alt,neutmuts,delmuts,m1muts,m2muts,m3muts
4,-0.001,0.428571,-0.4,7,3,3,0,0
4,-0.01,1.2,0.0909091,5,6,0,6,0
4,-0.1,0.166667,-0.714286,12,2,0,0,2
4,-0.001,1.09091,0.0434783,11,12,12,0,0
4,-0.01,0.833333,-0.0909091,6,5,0,5,0
4,-0.1,0.428571,-0.4,7,3,0,0,3
4,-0.001,1.0,0.0,7,7,7,0,0
4,-0.01,0.555556,-0.285714,9,5,0,5,0
4,-0.1,0.214286,-0.647059,14,3,0,0,3
4,-0.001,1.33333,0.142857,3,4,4,0,0
4,-0.01,0.875,-0.0666667,8,7,0,7,0
4,-0.1,0.4,-0.428571,10,4,0,0,4
4,-0.001,1.66667,0.25,3,5,5,0,0
4,-0.01,0.333333,-0.5,15,5,0,5,0
4,-0.1,0.4,-0.428571,5,2,0,0,2
4,-0.001,0.307692,-0.529412,13,4,4,0,0
4,-0.01,0.5,-0.333333,8,4,0,4,0
4,-0.1,0.157895,-0.727273,19,3,0,0,3
4,-0.001,0.538462,-0.3,13,7,7,0,0
4,-0.01,0.714286,-0.166667,7,5,0,5,0
4,-0.1,0.333333,-0.5,6,2,0,0,2
4,-0.001,0.9,-0.0526316,10,9,9,0,0
4,-0.01,1.25,0.111111,4,5,0,5,0
4,-0.1,0.714286,-0.166667,7,5,0,0,5
4,-0.001,2.0,0.333333,3,6,6,0,0
4,-0.01,0.5,-0.333333,8,4,0,4,0
4,-0.1,0.111111,-0.8,9,1,0,0,1
4,-0.001,0.615385,-0.238095,13,8,8,0,0
4,-0.01,0.333333,-0.5,6,2,0,2,0
4,-0.1,0.375,-0.454545,8,3,0,0,3
4,-0.001,1.8,0.285714,5,9,9,0,0
4,-0.01,1.2,0.0909091,5,6,0,6,0
4,-0.1,0.153846,-0.733333,13,2,0,0,2
4,-0.001,2.0,0.333333,5,10,10,0,0
4,-0.01,0.6,-0.25,5,3,0,3,0
4,-0.1,0.6,-0.25,5,3,0,0,3
4,-0.001,0.857143,-0.0769231,7,6,6,0,0
4,-0.01,0.625,-0.230769,8,5,0,5,0
4,-0.1,0.0769231,-0.857143,13,1,0,0,1
4,-0.001,0.25,-0.6,4,1,1,0,0
4,-0.01,0.266667,-0.578947,15,4,0,4,0
4,-0.1,0.5,-0.333333,6,3,0,0,3
4,-0.001,0.7,-0.176471,10,7,7,0,0
4,-0.01,0.5,-0.333333,4,2,0,2,0
4,-0.1,0.428571,-0.4,7,3,0,0,3
4,-0.001,0.888889,-0.0588235,9,8,8,0,0
4,-0.01,0.25,-0.6,8,2,0,2,0
4,-0.1,0.142857,-0.75,7,1,0,0,1
4,-0.001,1.11111,0.0526316,9,10,10,0,0
4,-0.01,1.66667,0.25,3,5,0,5,0
4,-0.1,0.333333,-0.5,6,2,0,0,2
4,-0.001,0.454545,-0.375,11,5,5,0,0
4,-0.01,1.2,0.0909091,5,6,0,6,0
4,-0.1,0.428571,-0.4,7,3,0,0,3
4,-0.001,1.16667,0.0769231,6,7,7,0,0
4,-0.01,0.75,-0.142857,8,6,0,6,0
4,-0.1,0.285714,-0.555556,14,4,0,0,4
4,-0.001,1.6,0.230769,5,8,8,0,0
4,-0.01,0.111111,-0.8,9,1,0,1,0
4,-0.1,0.111111,-0.8,9,1,0,0,1
4,-0.001,0.6,-0.25,5,3,3,0,0
4,-0.01,1.0,0.0,8,8,0,8,0
4,-0.1,0.285714,-0.555556,7,2,0,0,2
4,-0.001,1.1,0.047619,10,11,11,0,0
4,-0.01,0.8,-0.111111,5,4,0,4,0
4,-0.1,1.33333,0.142857,3,4,0,0,4
4,-0.001,0.857143,-0.0769231,7,6,6,0,0
4,-0.01,0.8,-0.111111,5,4,0,4,0
4,-0.1,0.5,-0.333333,6,3,0,0,3
4,-0.001,1.83333,0.294118,6,11,11,0,0
4,-0.01,0.428571,-0.4,7,3,0,3,0
4,-0.1,0.5,-0.333333,4,2,0,0,2
4,-0.001,0.714286,-0.166667,7,5,5,0,0
4,-0.01,2.0,0.333333,5,10,0,10,0
4,-0.1,0.428571,-0.4,7,3,0,0,3
4,-0.001,1.11111,0.0526316,9,10,10,0,0
4,-0.01,0.6,-0.25,10,6,0,6,0
4,-0.1,0.6,-0.25,10,6,0,0,6
4,-0.001,0.7,-0.176471,10,7,7,0,0
4,-0.01,1.0,0.0,6,6,0,6,0
4,-0.1,0.333333,-0.5,3,1,0,0,1
4,-0.001,2.6,0.444444,5,13,13,0,0
4,-0.01,0.222222,-0.636364,9,2,0,2,0
4,-0.1,0.5,-0.333333,6,3,0,0,3
4,-0.001,1.0,0.0,5,5,5,0,0
4,-0.01,0.833333,-0.0909091,6,5,0,5,0
4,-0.1,0.3,-0.538462,10,3,0,0,3
4,-0.001,0.75,-0.142857,4,3,3,0,0
4,-0.01,1.0,0.0,9,9,0,9,0
4,-0.1,1.0,0.0,3,3,0,0,3
4,-0.001,0.4,-0.428571,5,2,2,0,0
4,-0.01,0.375,-0.454545,8,3,0,3,0
4,-0.1,0.181818,-0.692308,11,2,0,0,2
4,-0.001,0.9,-0.0526316,10,9,9,0,0
4,-0.01,0.833333,-0.0909091,6,5,0,5,0
4,-0.1,0.75,-0.142857,4,3,0,0,3
4,-0.001,0.625,-0.230769,8,5,5,0,0
4,-0.01,0.2,-0.666667,5,1,0,1,0
4,-0.1,0.125,-0.777778,8,1,0,0,1
4,-0.001,0.5,-0.333333,10,5,5,0,0
4,-0.01,0.285714,-0.555556,14,4,0,4,0
4,-0.1,0.222222,-0.636364,9,2,0,0,2
4,-0.001,0.357143,-0.473684,14,5,5,0,0
4,-0.01,1.42857,0.176471,7,10,0,10,0
4,-0.1,0.75,-0.142857,4,3,0,0,3
4,-0.001,0.555556,-0.285714,9,5,5,0,0
4,-0.01,2.33333,0.4,3,7,0,7,0
4,-0.1,0.142857,-0.75,7,1,0,0,1
4,-0.001,0.714286,-0.166667,7,5,5,0,0
4,-0.01,0.875,-0.0666667,8,7,0,7,0
4,-0.1,0.2,-0.666667,5,1,0,0,1
4,-0.001,1.28571,0.125,7,9,9,0,0
4,-0.01,0.5,-0.333333,6,3,0,3,0
4,-0.1,0.5,-0.333333,10,5,0,0,5
4,-0.001,1.42857,0.176471,7,10,10,0,0
4,-0.01,2.0,0.333333,3,6,0,6,0
4,-0.1,0.375,-0.454545,8,3,0,0,3
4,-0.001,2.0,0.333333,6,12,12,0,0
4,-0.01,0.7,-0.176471,10,7,0,7,0
4,-0.1,0.333333,-0.5,9,3,0,0,3
4,-0.001,0.416667,-0.411765,12,5,5,0,0
4,-0.01,n/0,1.0,0,3,0,3,0
4,-0.1,0.363636,-0.466667,11,4,0,0,4
4,-0.001,1.33333,0.142857,3,4,4,0,0
4,-0.01,0.5,-0.333333,10,5,0,5,0
4,-0.1,0/s,-1.0,6,0,0,0,0
4,-0.001,0.6,-0.25,5,3,3,0,0
4,-0.01,0.6,-0.25,10,6,0,6,0
4,-0.1,0.5,-0.333333,8,4,0,0,4
4,-0.001,1.625,0.238095,8,13,13,0,0
4,-0.01,1.5,0.2,4,6,0,6,0
4,-0.1,0.375,-0.454545,8,3,0,0,3
4,-0.001,1.0,0.0,11,11,11,0,0
4,-0.01,0.571429,-0.272727,7,4,0,4,0
4,-0.1,0.333333,-0.5,12,4,0,0,4
4,-0.001,0.625,-0.230769,8,5,5,0,0
4,-0.01,1.0,0.0,6,6,0,6,0
4,-0.1,0.111111,-0.8,9,1,0,0,1
4,-0.001,1.5,0.2,4,6,6,0,0
4,-0.01,1.0,0.0,7,7,0,7,0
4,-0.1,0.428571,-0.4,7,3,0,0,3
4,-0.001,0.8,-0.111111,10,8,8,0,0
4,-0.01,0.666667,-0.2,6,4,0,4,0
4,-0.1,0.166667,-0.714286,6,1,0,0,1
4,-0.001,1.0,0.0,6,6,6,0,0
4,-0.01,0.333333,-0.5,12,4,0,4,0
4,-0.1,0.142857,-0.75,7,1,0,0,1
4,-0.001,1.14286,0.0666667,7,8,8,0,0
4,-0.01,0.666667,-0.2,6,4,0,4,0
4,-0.1,0.285714,-0.555556,7,2,0,0,2
4,-0.001,0.4,-0.428571,10,4,4,0,0
4,-0.01,0.625,-0.230769,8,5,0,5,0
4,-0.1,0/s,-1.0,5,0,0,0,0
4,-0.001,0.583333,-0.263158,12,7,7,0,0
4,-0.01,0.818182,-0.1,11,9,0,9,0
4,-0.1,0/s,-1.0,11,0,0,0,0
4,-0.001,1.0,0.0,7,7,7,0,0
4,-0.01,2.0,0.333333,1,2,0,2,0
4,-0.1,0.0769231,-0.857143,13,1,0,0,1
4,-0.001,0.428571,-0.4,7,3,3,0,0
4,-0.01,1.33333,0.142857,3,4,0,4,0
4,-0.1,1.0,0.0,3,3,0,0,3
4,-0.001,2.25,0.384615,4,9,9,0,0
4,-0.01,0.3,-0.538462,10,3,0,3,0
4,-0.1,0.222222,-0.636364,9,2,0,0,2
4,-0.001,0.714286,-0.166667,7,5,5,0,0
4,-0.01,0.416667,-0.411765,12,5,0,5,0
4,-0.1,0.166667,-0.714286,12,2,0,0,2
4,-0.001,0.5,-0.333333,6,3,3,0,0
4,-0.01,0.7,-0.176471,10,7,0,7,0
4,-0.1,0/s,-1.0,10,0,0,0,0
4,-0.001,2.5,0.428571,4,10,10,0,0
4,-0.01,0.363636,-0.466667,11,4,0,4,0
4,-0.1,0.333333,-0.5,6,2,0,0,2
4,-0.001,0.857143,-0.0769231,7,6,6,0,0
4,-0.01,0.777778,-0.125,9,7,0,7,0
4,-0.1,0.222222,-0.636364,9,2,0,0,2
4,-0.001,1.5,0.2,6,9,9,0,0
4,-0.01,0.214286,-0.647059,14,3,0,3,0
4,-0.1,0/s,-1.0,9,0,0,0,0
4,-0.001,1.0,0.0,7,7,7,0,0
4,-0.01,0.375,-0.454545,8,3,0,3,0
4,-0.1,0/s,-1.0,3,0,0,0,0
4,-0.001,1.2,0.0909091,5,6,6,0,0
4,-0.01,0.666667,-0.2,6,4,0,4,0
4,-0.1,0.5,-0.333333,6,3,0,0,3
4,-0.001,1.5,0.2,4,6,6,0,0
4,-0.01,0.333333,-0.5,12,4,0,4,0
4,-0.1,0.5,-0.333333,6,3,0,0,3
4,-0.001,0.666667,-0.2,9,6,6,0,0
4,-0.01,0.625,-0.230769,8,5,0,5,0
4,-0.1,0.571429,-0.272727,7,4,0,0,4
4,-0.001,0.833333,-0.0909091,12,10,10,0,0
4,-0.01,0.6,-0.25,5,3,0,3,0
4,-0.1,0/s,-1.0,5,0,0,0,0
4,-0.001,1.0,0.0,7,7,7,0,0
4,-0.01,0.714286,-0.166667,7,5,0,5,0
4,-0.1,0.125,-0.777778,8,1,0,0,1
4,-0.001,1.125,0.0588235,8,9,9,0,0
4,-0.01,0.222222,-0.636364,9,2,0,2,0
4,-0.1,0/s,-1.0,5,0,0,0,0
4,-0.001,0.333333,-0.5,6,2,2,0,0
4,-0.01,0.555556,-0.285714,9,5,0,5,0
4,-0.1,0.444444,-0.384615,9,4,0,0,4
4,-0.001,1.14286,0.0666667,7,8,8,0,0
4,-0.01,0.5,-0.333333,10,5,0,5,0
4,-0.1,0/s,-1.0,8,0,0,0,0
4,-0.001,0.785714,-0.12,14,11,11,0,0
4,-0.01,1.0,0.0,8,8,0,8,0
4,-0.1,0.125,-0.777778,8,1,0,0,1
4,-0.001,1.6,0.230769,5,8,8,0,0
4,-0.01,1.33333,0.142857,6,8,0,8,0
4,-0.1,0.375,-0.454545,8,3,0,0,3
4,-0.001,0.714286,-0.166667,7,5,5,0,0
4,-0.01,0.6,-0.25,10,6,0,6,0
4,-0.1,0.428571,-0.4,7,3,0,0,3
4,-0.001,0.714286,-0.166667,7,5,5,0,0
4,-0.01,0.454545,-0.375,11,5,0,5,0
4,-0.1,0.428571,-0.4,7,3,0,0,3
4,-0.001,0.636364,-0.222222,11,7,7,0,0
4,-0.01,0.75,-0.142857,4,3,0,3,0
4,-0.1,0.1,-0.818182,10,1,0,0,1
4,-0.001,0.333333,-0.5,9,3,3,0,0
4,-0.01,1.5,0.2,2,3,0,3,0
4,-0.1,0.142857,-0.75,7,1,0,0,1
4,-0.001,1.66667,0.25,6,10,10,0,0
4,-0.01,0.909091,-0.047619,11,10,0,10,0
4,-0.1,0.333333,-0.5,3,1,0,0,1
