neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
561,576,76,116,384,1.02674,0.0131926
563,545,71,101,373,0.968028,-0.0162455
591,564,84,105,375,0.954315,-0.0233766
589,553,76,110,367,0.938879,-0.0315236
583,535,73,104,358,0.917667,-0.0429338
565,562,77,122,363,0.99469,-0.00266193
584,539,67,99,373,0.922945,-0.0400712
570,566,71,108,387,0.992982,-0.00352113
578,537,70,87,380,0.929066,-0.0367713
572,522,60,91,371,0.912587,-0.0457038
573,548,70,105,373,0.95637,-0.0223015
561,540,71,100,369,0.962567,-0.0190736
580,547,75,98,374,0.943103,-0.0292813
558,568,82,114,372,1.01792,0.00888099
576,550,73,102,375,0.954861,-0.0230906
591,568,67,113,388,0.961083,-0.0198447
581,559,69,105,385,0.962134,-0.0192982
566,551,75,101,375,0.973498,-0.0134288
578,536,64,111,361,0.927336,-0.037702
577,544,70,109,365,0.942808,-0.029438
570,550,80,96,374,0.964912,-0.0178571
582,581,87,114,380,0.998282,-0.000859845
563,554,72,103,379,0.984014,-0.0080573
579,567,75,96,396,0.979275,-0.0104712
583,551,81,102,368,0.945111,-0.0282187
576,563,86,99,378,0.977431,-0.0114135
565,564,89,90,385,0.99823,-0.00088574
564,529,66,104,359,0.937943,-0.032022
564,574,84,109,381,1.01773,0.00878735
553,591,84,104,403,1.06872,0.0332168
577,553,73,109,371,0.958406,-0.0212389
559,525,57,105,363,0.939177,-0.0313653
580,555,71,115,369,0.956897,-0.0220264
560,563,79,110,374,1.00536,0.00267142
576,556,72,112,372,0.965278,-0.0176678
562,561,73,111,377,0.998221,-0.000890472
578,552,80,94,378,0.955017,-0.0230088
573,565,83,98,384,0.986038,-0.00702988
584,566,70,114,382,0.969178,-0.0156522
560,565,64,115,386,1.00893,0.00444444
580,574,82,108,384,0.989655,-0.00519931
571,566,75,102,389,0.991243,-0.00439754
567,556,64,116,376,0.9806,-0.00979519
588,535,72,93,370,0.909864,-0.047195
573,537,74,96,367,0.937173,-0.0324324
569,543,71,104,368,0.954306,-0.0233813
586,581,77,101,403,0.991468,-0.00428449
584,567,80,103,384,0.97089,-0.0147698
586,560,78,96,386,0.955631,-0.0226876
567,549,72,108,369,0.968254,-0.016129
583,537,70,98,369,0.921098,-0.0410714
595,561,79,102,380,0.942857,-0.0294118
571,561,78,105,378,0.982487,-0.00883392
567,548,69,103,376,0.96649,-0.0170404
564,566,77,105,384,1.00355,0.00176991
570,567,86,91,390,0.994737,-0.00263852
566,550,80,98,372,0.971731,-0.0143369
559,574,68,119,387,1.02683,0.0132392
572,556,78,104,374,0.972028,-0.0141844
571,564,71,107,386,0.987741,-0.0061674
562,561,79,100,382,0.998221,-0.000890472
559,547,63,93,391,0.978533,-0.0108499
575,550,75,110,365,0.956522,-0.0222222
557,563,76,108,379,1.01077,0.00535714
582,578,79,104,395,0.993127,-0.00344828
605,538,67,97,374,0.889256,-0.0586177
578,563,72,108,383,0.974048,-0.0131464
562,579,77,109,393,1.03025,0.0148992
603,558,81,100,377,0.925373,-0.0387597
570,559,75,120,364,0.980702,-0.00974314
557,553,67,106,380,0.992819,-0.0036036
568,573,73,105,395,1.0088,0.00438212
561,547,73,110,364,0.975045,-0.0126354
567,568,70,112,386,1.00176,0.000881057
573,572,79,123,370,0.998255,-0.000873362
566,572,72,122,378,1.0106,0.00527241
570,593,86,104,403,1.04035,0.0197764
584,548,78,90,380,0.938356,-0.0318021
572,545,77,95,373,0.952797,-0.0241719
563,555,65,103,387,0.98579,-0.00715564
579,550,65,108,377,0.949914,-0.0256864
574,568,87,105,376,0.989547,-0.00525394
603,587,83,120,384,0.973466,-0.0134454
584,586,89,114,383,1.00342,0.0017094
588,558,74,109,375,0.94898,-0.026178
571,559,78,102,379,0.978984,-0.0106195
555,542,75,103,364,0.976577,-0.0118505
566,575,72,107,396,1.0159,0.00788782
580,569,80,109,380,0.981034,-0.00957354
567,583,68,121,394,1.02822,0.013913
577,542,65,100,377,0.939341,-0.0312779
584,560,72,102,386,0.958904,-0.020979
571,579,85,108,386,1.01401,0.00695652
577,567,81,102,384,0.982669,-0.00874126
560,552,67,101,384,0.985714,-0.00719424
590,558,87,102,369,0.945763,-0.0278746
582,561,81,108,372,0.963918,-0.0183727
577,546,67,107,372,0.946274,-0.0276046
565,566,68,112,386,1.00177,0.000884173
572,570,79,108,383,0.996503,-0.00175131
