neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
1248,1624,223,513,888,1.30128,0.130919
1233,1561,195,490,876,1.26602,0.117394
1248,1527,209,462,856,1.22356,0.100541
1208,1577,210,485,882,1.30546,0.132496
1213,1600,199,499,902,1.31904,0.137576
1231,1588,198,502,888,1.29001,0.126641
1233,1591,219,498,874,1.29035,0.126771
1242,1551,183,493,875,1.24879,0.110634
1252,1546,204,473,869,1.23482,0.105075
1236,1583,215,491,877,1.28074,0.123093
1234,1621,226,512,883,1.31361,0.135552
1227,1602,225,493,884,1.30562,0.132556
1232,1574,206,488,880,1.2776,0.121882
1244,1585,213,498,874,1.27412,0.120537
1232,1606,223,505,878,1.30357,0.131783
1209,1573,206,518,849,1.30108,0.130841
1220,1563,195,501,867,1.28115,0.123248
1212,1537,204,475,858,1.26815,0.118225
1232,1546,203,479,864,1.25487,0.113031
1223,1571,217,484,870,1.28455,0.124553
1246,1591,222,503,866,1.27689,0.121607
1231,1580,226,495,859,1.28351,0.124155
1245,1614,215,519,880,1.29639,0.129066
1235,1573,220,503,850,1.27368,0.12037
1224,1574,217,495,862,1.28595,0.125089
1231,1577,227,487,863,1.28107,0.123219
1226,1594,203,502,889,1.30016,0.130496
1224,1567,209,495,863,1.28023,0.122895
1216,1558,208,474,876,1.28125,0.123288
1249,1578,208,494,876,1.26341,0.116378
1235,1542,208,492,842,1.24858,0.110551
1241,1610,221,505,884,1.29734,0.129428
1218,1553,202,479,872,1.27504,0.120895
1221,1540,205,478,857,1.26126,0.115538
1208,1567,200,500,867,1.29719,0.129369
1253,1596,216,496,884,1.27374,0.120393
1226,1553,217,477,859,1.26672,0.117668
1243,1517,195,454,868,1.22043,0.0992754
1221,1571,193,502,876,1.28665,0.125358
1220,1546,195,501,850,1.26721,0.11786
1235,1569,202,492,875,1.27045,0.119116
1222,1529,202,461,866,1.25123,0.111596
1237,1587,233,488,866,1.28294,0.123938
1244,1589,218,484,887,1.27733,0.121779
1228,1574,212,483,879,1.28176,0.123483
1240,1598,222,492,884,1.28871,0.126145
1219,1568,217,490,861,1.2863,0.125224
1243,1523,196,466,861,1.22526,0.101229
1242,1546,189,493,864,1.24477,0.109039
1242,1577,206,496,875,1.26973,0.118836
1247,1536,191,473,872,1.23176,0.103845
1223,1570,195,496,879,1.28373,0.124239
1218,1562,204,492,866,1.28243,0.123741
1218,1560,208,471,881,1.28079,0.12311
1220,1566,203,495,868,1.28361,0.124192
1212,1564,208,465,891,1.29043,0.126801
1226,1589,217,477,895,1.29608,0.128952
1236,1574,197,495,882,1.27346,0.120285
1234,1566,215,472,879,1.26904,0.118571
1235,1560,212,485,863,1.26316,0.116279
1278,1603,212,499,892,1.2543,0.112808
1234,1556,211,479,866,1.26094,0.115412
1233,1570,213,487,870,1.27332,0.120228
1230,1565,216,478,871,1.27236,0.119857
1242,1556,213,487,856,1.25282,0.112223
1242,1570,207,492,871,1.26409,0.116643
1227,1570,208,492,870,1.27954,0.122631
1222,1583,204,489,890,1.29542,0.128699
1226,1582,206,499,877,1.29038,0.126781
1246,1557,204,484,869,1.2496,0.110953
1230,1529,200,483,846,1.24309,0.108373
1212,1579,214,503,862,1.30281,0.131494
1233,1573,198,501,874,1.27575,0.121169
1257,1563,196,477,890,1.24344,0.108511
1218,1595,206,487,902,1.30952,0.134021
1232,1595,216,527,852,1.29464,0.128405
1248,1583,215,492,876,1.26843,0.118333
1234,1560,214,475,871,1.26418,0.116679
1218,1577,206,489,882,1.29475,0.128444
1235,1539,192,486,861,1.24615,0.109589
1236,1541,204,475,862,1.24676,0.109831
1232,1564,217,488,859,1.26948,0.118741
1225,1563,195,513,855,1.27592,0.121234
1188,1581,209,501,871,1.33081,0.141928
1234,1571,200,495,876,1.2731,0.120143
1230,1545,189,495,861,1.2561,0.113514
1217,1549,194,471,884,1.2728,0.120029
1239,1598,212,500,886,1.28975,0.126542
1221,1611,223,507,881,1.31941,0.137712
1245,1551,201,472,878,1.24578,0.109442
1230,1569,211,488,870,1.27561,0.121115
1215,1578,198,503,877,1.29877,0.129968
1214,1550,203,486,861,1.27677,0.121563
1245,1573,196,513,864,1.26345,0.116395
1229,1600,218,507,875,1.30187,0.131142
1205,1570,206,491,873,1.3029,0.131532
1238,1596,210,511,875,1.28918,0.126323
1254,1569,213,481,875,1.2512,0.111583
1241,1573,197,493,883,1.26753,0.117982
1249,1546,189,491,866,1.23779,0.106261
