neutmuts,delmuts,highdelmuts,moddelmuts,wkdelmuts,pnps,pnps_alt
68,88,18,38,32,1.29412,0.128205
59,80,14,36,30,1.35593,0.151079
65,91,17,41,33,1.4,0.166667
61,86,18,36,32,1.40984,0.170068
63,86,17,38,31,1.36508,0.154362
59,80,15,32,33,1.35593,0.151079
61,87,21,35,31,1.42623,0.175676
63,82,16,33,33,1.30159,0.131034
63,77,14,35,28,1.22222,0.1
59,83,20,33,30,1.40678,0.169014
64,81,14,37,30,1.26562,0.117241
62,81,12,35,34,1.30645,0.132867
60,80,15,35,30,1.33333,0.142857
60,94,19,42,33,1.56667,0.220779
59,87,19,35,33,1.47458,0.191781
65,79,13,33,33,1.21538,0.0972222
58,89,19,35,35,1.53448,0.210884
58,83,13,35,35,1.43103,0.177305
61,82,15,36,31,1.34426,0.146853
61,84,17,34,33,1.37705,0.158621
65,83,16,33,34,1.27692,0.121622
64,74,13,29,32,1.15625,0.0724638
62,87,14,38,35,1.40323,0.167785
57,82,16,30,36,1.4386,0.179856
59,82,19,34,29,1.38983,0.163121
62,92,18,40,34,1.48387,0.194805
62,80,15,35,30,1.29032,0.126761
60,88,18,39,31,1.46667,0.189189
54,85,20,38,27,1.57407,0.223022
62,82,13,35,34,1.32258,0.138889
68,87,15,37,35,1.27941,0.122581
61,73,14,35,24,1.19672,0.0895522
61,73,12,33,28,1.19672,0.0895522
59,86,16,37,33,1.45763,0.186207
63,86,14,39,33,1.36508,0.154362
57,75,17,33,25,1.31579,0.136364
68,83,14,32,37,1.22059,0.0993377
61,83,15,38,30,1.36066,0.152778
56,76,13,31,32,1.35714,0.151515
63,87,13,42,32,1.38095,0.16
57,90,18,40,32,1.57895,0.22449
65,80,12,35,33,1.23077,0.103448
64,88,18,41,29,1.375,0.157895
70,84,20,35,29,1.2,0.0909091
58,86,17,31,38,1.48276,0.194444
62,86,16,37,33,1.3871,0.162162
63,83,14,35,34,1.31746,0.136986
61,84,14,36,34,1.37705,0.158621
68,80,18,32,30,1.17647,0.0810811
58,78,12,36,30,1.34483,0.147059
66,82,17,33,32,1.24242,0.108108
62,81,14,36,31,1.30645,0.132867
59,84,13,40,31,1.42373,0.174825
61,78,15,32,31,1.27869,0.122302
68,83,13,38,32,1.22059,0.0993377
64,73,14,29,30,1.14062,0.0656934
61,78,15,32,31,1.27869,0.122302
64,76,11,32,33,1.1875,0.0857143
58,87,19,35,33,1.5,0.2
58,79,13,34,32,1.36207,0.153285
63,85,16,38,31,1.34921,0.148649
60,79,12,32,35,1.31667,0.136691
63,82,14,37,31,1.30159,0.131034
56,80,18,35,27,1.42857,0.176471
58,77,14,31,32,1.32759,0.140741
52,84,18,36,30,1.61538,0.235294
64,86,20,37,29,1.34375,0.146667
58,75,15,31,29,1.2931,0.12782
65,82,17,35,30,1.26154,0.115646
64,83,13,39,31,1.29688,0.129252
63,88,17,38,33,1.39683,0.165563
59,88,20,35,33,1.49153,0.197279
60,83,21,34,28,1.38333,0.160839
62,74,14,36,24,1.19355,0.0882353
57,82,20,36,26,1.4386,0.179856
60,83,18,35,30,1.38333,0.160839
64,83,14,35,34,1.29688,0.129252
61,80,14,36,30,1.31148,0.134752
57,79,16,34,29,1.38596,0.161765
56,77,14,32,31,1.375,0.157895
59,80,15,34,31,1.35593,0.151079
63,87,16,38,33,1.38095,0.16
64,82,18,32,32,1.28125,0.123288
61,83,22,32,29,1.36066,0.152778
62,79,12,35,32,1.27419,0.120567
55,86,20,31,35,1.56364,0.219858
63,81,16,32,33,1.28571,0.125
61,85,16,39,30,1.39344,0.164384
60,88,16,36,36,1.46667,0.189189
65,80,13,34,33,1.23077,0.103448
61,94,19,39,36,1.54098,0.212903
67,76,13,34,29,1.13433,0.0629371
66,77,20,28,29,1.16667,0.0769231
62,85,19,34,32,1.37097,0.156463
70,81,12,36,33,1.15714,0.0728477
60,93,24,34,35,1.55,0.215686
58,77,15,31,31,1.32759,0.140741
66,88,18,33,37,1.33333,0.142857
61,82,15,35,32,1.34426,0.146853
61,82,13,34,35,1.34426,0.146853
